PH,Temperature,Brine origin,Energy input [kWh/m^3],Ca [mg/L],Mg [mg/L],Salinity [g/L],Fe [mg/L],Al [mg/L],Li [mg/L],Cu [mg/L],Energy input [kWh/kg metal rem.],Ewe,Ca + Mg [mg/L],Al out/in ratio,Li out/in ratio
3,20,ICELAND,0.19,1750,5,30,0.0,180.0,0,0.0,2.1,0.35,1755,,
3,50,ICELAND,0.09,1750,5,30,0.0,180.0,0,0.0,5.17,0.35,1755,,
3,20,BELGIUM,2.1,10000,600,30,50.0,0.0,0,15.0,3.4,0.35,10600,,
3,50,BELGIUM,1.96,10000,600,30,50.0,0.0,0,15.0,11.5,0.35,10600,,
3,20,ENGLAND,0.96,1000,50,30,800.0,0.0,0,0.0,11.4,0.35,1050,,
3,50,ENGLAND,1.15,1000,50,30,800.0,0.0,0,0.0,26.4,0.35,1050,,
7,20,,0.13,0,0,30,,155.9,0,,31.75,0.35,0,1.0,0.0
7,20,,1.61,0,0,30,,155.9,20,,10.5,0.35,0,0.9917355371900827,0.09090909090909091
7,20,,1.61,0,0,30,,155.9,20,,10.5,0.35,0,0.9900990099009901,0.09405940594059406
7,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9958677685950414,0.11983471074380164
7,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9942857142857143,0.12
7,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9948186528497409,0.11917098445595856
7,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,1.0,0.11864406779661019
7,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9899497487437185,0.11557788944723618
7,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9945945945945945,0.11891891891891891
7,20,,1.63,0,0,30,,155.9,80,,10.11,0.35,0,0.8429752066115703,0.12396694214876033
9,20,,0.13,0,0,30,,155.9,0,,31.75,0.35,0,1.0,0.0
9,20,,1.61,0,0,30,,155.9,20,,10.5,0.35,0,0.9793388429752067,0.10743801652892562
9,20,,1.61,0,0,30,,155.9,20,,10.5,0.35,0,0.9752475247524752,0.10891089108910891
9,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,1.0,0.11157024793388431
9,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9942857142857143,0.10857142857142857
9,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,1.0,0.10880829015544041
9,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,1.0,0.11016949152542374
9,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9949748743718593,0.11055276381909548
9,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.9945945945945945,0.1135135135135135
9,20,,1.63,0,0,30,,155.9,80,,10.11,0.35,0,1.0,0.09504132231404959
11,20,,0.13,0,0,30,,155.9,0,,31.75,0.35,0,0.09090909090909091,0.0
11,20,,1.61,0,0,30,,155.9,20,,10.5,0.35,0,0.8925619834710745,0.1487603305785124
11,20,,1.61,0,0,30,,155.9,20,,10.5,0.35,0,0.8960396039603961,0.1485148514851485
11,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.7975206611570248,0.24793388429752067
11,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.7942857142857143,0.24571428571428572
11,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.7979274611398964,0.24870466321243523
11,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.7966101694915254,0.24576271186440676
11,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.7939698492462312,0.24623115577889446
11,20,,1.63,0,0,30,,155.9,40,,10.1,0.35,0,0.7945945945945946,0.24864864864864863
11,20,,1.63,0,0,30,,155.9,80,,10.11,0.35,0,0.8016528925619835,0.11983471074380164
7,20,,2.31,0,0,30,,233.9,20,,10.2,0.35,0,1.0,0.019801980198019802
