PH,Al [mg/L],Li [mg/L],Ca [mg/L],Mg [mg/L],Al out/in ratio,Li out/in ratio,Energy input [kWh/m^3],Energy input [kWh/kg metal rem.],Temperature,Salinity [g/L],Ewe,Ca + Mg [mg/L]
7,155.9,0,0,0,1.0,0.0,0.13,31.75,20,30,0.35,0
7,155.9,20,0,0,0.9917355371900827,0.09090909090909091,1.61,10.5,20,30,0.35,0
7,155.9,40,0,0,0.9958677685950414,0.11983471074380164,1.63,10.1,20,30,0.35,0
7,155.9,80,0,0,0.8429752066115703,0.12396694214876033,1.63,10.11,20,30,0.35,0
9,155.9,0,0,0,1.0,0.0,0.13,31.75,20,30,0.35,0
9,155.9,20,0,0,0.9793388429752067,0.10743801652892562,1.61,10.5,20,30,0.35,0
9,155.9,40,0,0,1.0,0.11157024793388431,1.63,10.1,20,30,0.35,0
9,155.9,80,0,0,1.0,0.09504132231404959,1.63,10.11,20,30,0.35,0
11,155.9,0,0,0,0.09090909090909091,0.0,0.13,31.75,20,30,0.35,0
11,155.9,20,0,0,0.8925619834710745,0.1487603305785124,1.61,10.5,20,30,0.35,0
11,155.9,40,0,0,0.7975206611570248,0.24793388429752067,1.63,10.1,20,30,0.35,0
11,155.9,80,0,0,0.8016528925619835,0.11983471074380164,1.63,10.11,20,30,0.35,0
7,155.9,20,0,0,0.9900990099009901,0.09405940594059406,1.61,10.5,20,30,0.35,0
7,233.9,20,0,0,1.0,0.019801980198019802,2.31,10.2,20,30,0.35,0
9,155.9,20,0,0,0.9752475247524752,0.10891089108910891,1.61,10.5,20,30,0.35,0
9,233.9,20,0,0,1.0,0.0891089108910891,2.31,10.2,20,30,0.35,0
11,155.9,20,0,0,0.8960396039603961,0.1485148514851485,1.61,10.5,20,30,0.35,0
11,233.9,20,0,0,0.9356435643564356,0.2079207920792079,2.31,10.2,20,30,0.35,0
7,155.9,40,0,0,0.9942857142857143,0.12,1.63,10.1,20,30,0.35,0
7,155.9,40,0,0,0.9028571428571429,0.25142857142857145,3.43,22.32,20,30,0.7,0
7,155.9,40,0,0,0.9257142857142858,0.24571428571428572,4.71,29.95,20,30,0.9,0
9,155.9,40,0,0,0.9942857142857143,0.10857142857142857,1.63,10.1,20,30,0.35,0
9,155.9,40,0,0,0.9942857142857143,0.05714285714285715,3.43,22.32,20,30,0.7,0
9,155.9,40,0,0,0.9942857142857143,0.07428571428571429,4.71,29.95,20,30,0.9,0
11,155.9,40,0,0,0.7942857142857143,0.24571428571428572,1.63,10.1,20,30,0.35,0
11,155.9,40,0,0,0.7771428571428572,0.12,3.43,22.32,20,30,0.7,0
11,155.9,40,0,0,0.7371428571428572,0.17714285714285713,4.71,29.95,20,30,0.9,0
7,155.9,40,0,0,1.0,0.02072538860103627,2.31,15.21,20,5,0.35,0
7,155.9,40,0,0,0.9948186528497409,0.11917098445595856,1.63,10.1,20,30,0.35,0
7,155.9,40,0,0,0.9481865284974094,0.23316062176165805,1.41,8.61,20,75,0.35,0
7,155.9,40,0,0,0.9637305699481866,0.23316062176165805,1.28,7.59,20,135,0.35,0
9,155.9,40,0,0,0.9896373056994818,0.1450777202072539,2.31,15.21,20,5,0.35,0
9,155.9,40,0,0,1.0,0.10880829015544041,1.63,10.1,20,30,0.35,0
9,155.9,40,0,0,1.0,0.2849740932642487,1.41,8.61,20,75,0.35,0
9,155.9,40,0,0,1.0,0.37305699481865284,1.28,7.59,20,135,0.35,0
11,155.9,40,0,0,0.9533678756476685,0.36787564766839376,2.31,15.21,20,5,0.35,0
11,155.9,40,0,0,0.7979274611398964,0.24870466321243523,1.63,10.1,20,30,0.35,0
11,155.9,40,0,0,0.6062176165803108,0.24352331606217617,1.41,8.61,20,75,0.35,0
11,155.9,40,0,0,0.5595854922279794,0.2383419689119171,1.28,7.59,20,135,0.35,0
7,155.9,40,0,0,1.0,0.11864406779661019,1.63,10.1,20,30,0.35,0
7,155.9,40,2000,0,0.8940677966101694,0.22881355932203393,2.97,19.04,20,30,0.35,2000
