,count,mean,std,min,25%,50%,75%,max
t,1000.0,147.0,10.1,123.0,140.0,148.0,155.0,169.0
p,1000.0,4.9,1.18,2.08,4.07,4.88,5.73,7.67
ph,1000.0,4.75,0.0855,4.6,4.67,4.75,4.82,4.9
q,1000.0,176.0,10.2,150.0,169.0,177.0,183.0,199.0
s,1000.0,30.0,0.5700000000000001,29.0,29.5,30.0,30.5,31.0
ewe,1000.0,0.35000000000000003,3.2200000000000003e-15,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
co2,1000.0,1540.0,491.0,680.0,1120.0,1560.0,1950.0,2400.0
na,1000.0,50900.0,623.0,49800.00000000001,50300.0,50900.0,51400.0,52000.0
ca,1000.0,1440.0,51.900000000000006,1350.0,1390.0,1440.0,1480.0,1530.0
mg,1000.0,9.54,1.46,7.0,8.21,9.56,10.8,12.0
cl,1000.0,104000.0,3460.0,98100.0,101000.0,104000.0,107000.0,110000.00000000001
au,1000.0,0.013200000000000002,0.00455,0.005,0.00923,0.013300000000000001,0.017,0.021
ag,1000.0,0.0737,0.0271,0.026099999999999998,0.0499,0.0743,0.0968,0.121
co,1000.0,0.0115,0.00206,0.00801,0.009689999999999999,0.0115,0.013200000000000002,0.015
zn,1000.0,12.6,2.57,8.0,10.4,12.6,14.8,17.0
li,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cu,1000.0,1.9,0.684,0.81,1.3,1.86,2.49,3.1
pb,1000.0,1.17,0.46799999999999997,0.361,0.774,1.17,1.55,2.0
ni,1000.0,0.37400000000000005,0.16200000000000003,0.095,0.23399999999999999,0.383,0.51,0.65
cd,1000.0,0.258,0.13,0.0403,0.146,0.254,0.37000000000000005,0.49000000000000005
ti,1000.0,0.00825,2.92e-05,0.008199999999999999,0.008230000000000001,0.00825,0.00828,0.0083
mo,1000.0,0.053200000000000004,0.011399999999999999,0.033,0.0437,0.053200000000000004,0.063,0.073
mn,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
se,1000.0,0.0151,0.00171,0.012,0.013700000000000002,0.015,0.0166,0.018000000000000002
sr,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sb,1000.0,0.0111,0.00287,0.00601,0.00867,0.011200000000000002,0.013600000000000001,0.016
al,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,1000.0,0.049800000000000004,0.0122,0.0242,0.0405,0.0493,0.0588,0.0891
cu_3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
au_3,1000.0,1.16e-06,4.1799999999999996e-07,3.8999999999999997e-07,8.07e-07,1.1699999999999998e-06,1.48e-06,2.2599999999999995e-06
as_3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sb_3,1000.0,9.78e-07,2.7e-07,4.24e-07,7.57e-07,9.61e-07,1.1899999999999998e-06,1.6799999999999998e-06
E4,1000.0,441.0,92.2,219.0,372.0,446.0,505.0,684.0
H4,1000.0,5530.0,219.0,4950.0,5380.0,5550.0,5680.0,6090.0
E5,1000.0,-2.9500000000000005e-135,1.65e-134,-3.1600000000000003e-133,-7.230000000000001e-138,-3.17e-142,-1.66e-146,-7.5600000000000005e-152
as_5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mn_5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba_5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zn_5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr_5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
al_5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ni_5,1000.0,1.7299999999999998e-132,8.25e-132,8.59e-149,1.11e-143,1.91e-139,5.76e-135,9.960000000000002e-131
li_5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6,1000.0,0.134,0.00797,0.11100000000000002,0.128,0.134,0.13999999999999999,0.15500000000000003
E,1000.0,441.0,92.2,219.0,372.0,446.0,505.0,684.0
