,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,al_5,ni_5,mn_5,sr_5,zn_5,as_5,li_5,ba_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.027594481025988115,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022444773038152472,0.0,4.23100980166606e-07,0.0,4.5037690018146523e-07,383.63548154399996,4976.775,-2.709341193732838e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7684395708208
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02596552638078475,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022118257106144824,0.0,4.0869998717619e-07,0.0,4.589181857581703e-07,383.63548154399996,4976.775,-6.463440385663119e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76811305488883
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.027756025978597793,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0235186744976304,0.0,4.20648492137085e-07,0.0,4.7609168638473073e-07,383.63548154399996,4976.775,-1.2279709221954303e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76951347228027
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02724031666814344,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02217104620928403,0.0,3.554194532544167e-07,0.0,4.683710500057413e-07,383.63548154399996,4976.775,-7.436673764348163e-135,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76816584399194
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.024334767233400906,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021200808858464003,0.0,4.033656157222394e-07,0.0,4.534190398911268e-07,383.63548154399996,4976.775,-2.6692549378012214e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7671956066411
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.023811641366259725,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02356121525000386,0.0,3.658461416337328e-07,0.0,4.496736926864179e-07,383.63548154399996,4976.775,-1.422369710610517e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7695560130327
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02574226527379515,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021570487650879676,0.0,3.796623178317707e-07,0.0,4.814538672877627e-07,383.63548154399996,4976.775,-2.7774242014929344e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76756528543353
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026169138358583557,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0207114402394309,0.0,3.2658229659064843e-07,0.0,4.447974445442278e-07,383.63548154399996,4976.775,-2.1072170309182302e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7667062380221
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026179138442151806,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023209254019276464,0.0,3.350428576204508e-07,0.0,4.951764491868844e-07,383.63548154399996,4976.775,-1.450022705964386e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7692040518019
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.027016948447156068,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02568167240316002,0.0,4.0127126946024683e-07,0.0,5.103063404030673e-07,383.63548154399996,4976.775,-2.5131005645579327e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7716764701858
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.023794002799008233,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018646380015089652,0.0,3.6826271886013925e-07,0.0,4.027809042854563e-07,383.63548154399996,4976.775,-2.990293414534443e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7646411777977
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.028368663833218524,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02333030542054064,0.0,3.837233918001679e-07,0.0,4.825685112436558e-07,383.63548154399996,4976.775,-2.0180697080036493e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7693251032032
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.025425805544459057,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021187711014595705,0.0,3.697194377234672e-07,0.0,4.5175135398112217e-07,383.63548154399996,4976.775,-3.22634030858365e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76718250879725
