,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,al_5,ni_5,mn_5,sr_5,zn_5,as_5,li_5,ba_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.023830526243853963,0.0,3.660683563057951e-07,0.0,5.062811479696867e-07,383.63548154399996,4976.775,-1.1707361046141258e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7698253240265
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.023943674667809677,0.0,3.9739338067508745e-07,0.0,5.027928647322342e-07,383.63548154399996,4976.775,-5.287403806110621e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76993847245046
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.018830272430723792,0.0,3.404616937354127e-07,0.0,4.442991514383152e-07,383.63548154399996,4976.775,-3.1336929687366915e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76482507021336
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.022232007888989685,0.0,3.835177682615881e-07,0.0,4.898692449875437e-07,383.63548154399996,4976.775,-8.470759541135191e-135,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76822680567165
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.02111578080924649,0.0,3.277107598506984e-07,0.0,4.2523828786652185e-07,383.63548154399996,4976.775,-2.4852878819380565e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7671105785919
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.024915278614256527,0.0,3.9597557753632027e-07,0.0,5.100813007838807e-07,383.63548154399996,4976.775,-2.6654722317500648e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7709100763969
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.019365529259339594,0.0,3.7969657448860604e-07,0.0,4.357871905461254e-07,383.63548154399996,4976.775,-1.311318410722636e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.765360327042
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.01995993969589616,0.0,3.6784092206451606e-07,0.0,3.8963425169214746e-07,383.63548154399996,4976.775,-1.5379280211426642e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7659547374786
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.021242751921318064,0.0,3.2250208255112317e-07,0.0,4.594523132653881e-07,383.63548154399996,4976.775,-1.089810996175397e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76723754970396
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0.0,0,0.02612618897876211,0.0,3.7263625337524395e-07,0.0,5.489866799899212e-07,383.63548154399996,4976.775,-1.7259034990474526e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7721209867614
