,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,al_5,ni_5,mn_5,sr_5,zn_5,as_5,li_5,ba_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.0057381020509317746,0,0,0.019990016034830027,0.0,3.403702362476739e-07,0.0,4.4790516670070026e-07,383.63548154399996,4976.775,-1.925684792164024e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7659848138175
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.00645749575793635,0,0,0.02132768851072802,0.0,3.413316663900832e-07,0.0,4.6773315034602186e-07,383.63548154399996,4976.775,-1.4809934791717192e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7673224862934
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006416277607441981,0,0,0.022050011311189107,0.0,3.7573833254533134e-07,0.0,4.7422892377352636e-07,383.63548154399996,4976.775,-3.9094947744081864e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76804480909385
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006312922838437894,0,0,0.02213960069612665,0.0,3.867529758350804e-07,0.0,5.048426216218097e-07,383.63548154399996,4976.775,-4.436281274029344e-135,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76813439847876
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.0057829207034416,0,0,0.020349316672263522,0.0,3.9002153533946746e-07,0.0,4.492642799727727e-07,383.63548154399996,4976.775,-1.0383728934502444e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7663441144549
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.0061538722341281495,0,0,0.022013059757286308,0.0,3.4021369842241885e-07,0.0,4.489080380661969e-07,383.63548154399996,4976.775,-2.361533895678107e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76800785753994
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005999635041908127,0,0,0.020822115441424986,0.0,3.7496161792284637e-07,0.0,4.1256686488883514e-07,383.63548154399996,4976.775,-1.0540974776092637e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7668169132241
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006576311907585642,0,0,0.025122813219255778,0.0,3.830583790550996e-07,0.0,5.26909059030733e-07,383.63548154399996,4976.775,-3.983765789504152e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7711176110019
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005789434768262493,0,0,0.023000431228846936,0.0,3.5358534786210065e-07,0.0,4.7182426320473216e-07,383.63548154399996,4976.775,-1.5698150085707246e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7689952290115
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005594706079643398,0,0,0.01996392701015081,0.0,3.434884061579473e-07,0.0,4.3533118441760204e-07,383.63548154399996,4976.775,-1.5242242875913262e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7659587247928
