,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,al_5,ni_5,mn_5,sr_5,zn_5,as_5,li_5,ba_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.01236178168932808,0,0.006,0,0,0.02116661810867981,0.0,3.9220558249234675e-07,0.0,4.361223903257664e-07,383.63548154399996,4976.775,-1.8417180830999444e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76716141589134
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011716328593559928,0,0.006,0,0,0.018988928217595673,0.0,3.500058326923642e-07,0.0,4.2218481024097745e-07,383.63548154399996,4976.775,-3.9110013259568384e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76498372600025
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012587410689265516,0,0.006,0,0,0.022689679011470378,0.0,3.33909816194e-07,0.0,4.7182225788263536e-07,383.63548154399996,4976.775,-2.9339844660837934e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76868447679414
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.01148213489069452,0,0.006,0,0,0.023151698177987314,0.0,4.3435200667960396e-07,0.0,4.3925968415104715e-07,383.63548154399996,4976.775,-1.4066805058160348e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7691464959606
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011045047775635591,0,0.006,0,0,0.023584647761558185,0.0,4.23678591871256e-07,0.0,4.692915947421204e-07,383.63548154399996,4976.775,-1.3220959859917152e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7695794455442
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011503893984531608,0,0.006,0,0,0.021306936905007928,0.0,4.147695297952805e-07,0.0,4.4470060771083305e-07,383.63548154399996,4976.775,-1.4422744317449596e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7673017346877
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012217936019026243,0,0.006,0,0,0.019974425395146152,0.0,3.8553670302272653e-07,0.0,3.863072636700565e-07,383.63548154399996,4976.775,-2.3563017082940514e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7659692231778
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.01100389216008609,0,0.006,0,0,0.019821838887689697,0.0,3.7472868635516586e-07,0.0,3.958032168534317e-07,383.63548154399996,4976.775,-1.9734935098294193e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76581663667037
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012806944035671468,0,0.006,0,0,0.021806937962260742,0.0,3.596315873859989e-07,0.0,4.854115236271107e-07,383.63548154399996,4976.775,-1.6128789129484659e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7678017357449
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011137381936840121,0,0.006,0,0,0.02265916292732417,0.0,4.22140855314228e-07,0.0,4.3931066471400235e-07,383.63548154399996,4976.775,-1.3850932667300485e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76865396070997
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011111994060781432,0,0.006,0,0,0.018283012675365484,0.0,3.9789344678778747e-07,0.0,4.0014198056564105e-07,383.63548154399996,4976.775,-3.0275618447156525e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.764277810458
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012388646632399357,0,0.006,0,0,0.018514540023081966,0.0,3.404388601381091e-07,0.0,4.1176737675395927e-07,383.63548154399996,4976.775,-3.046006925646024e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76450933780575
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.0115593725380461,0,0.006,0,0,0.02299075298037566,0.0,3.8077172988043523e-07,0.0,4.837239908914663e-07,383.63548154399996,4976.775,-5.854573725590864e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76898555076303
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012854823819184345,0,0.006,0,0,0.023457936392472165,0.0,4.053431415074082e-07,0.0,5.108633771416487e-07,383.63548154399996,4976.775,-8.603700423538339e-135,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7694527341751
14,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011193061283944913,0,0.006,0,0,0.021299432062632732,0.0,3.609905371553155e-07,0.0,4.547671382292526e-07,383.63548154399996,4976.775,-1.4044593715007928e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7672942298453
15,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012405428038634779,0,0.006,0,0,0.02168749009989413,0.0,3.104244041361211e-07,0.0,4.5383780297744104e-07,383.63548154399996,4976.775,-2.333922866963622e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76768228788256
