,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,al_5,li_5,as_5,ni_5,mn_5,zn_5,sr_5,rb_5,cd_5,cu_5,br_5,hg_5,pb_5,f__5,fe_5,b__5,E6,E
0,159.0,5.516613150601453,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11425794004226106,0.03832732167507301,9.695656760190406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.8000066272681893,0.23484943340446188,63.35123290634376,0.4218804204375278,0.016339983965626706,14.995533518488832,1.2282891761444226,337.17201800027834,0.24165595050211142,0.024233513149620065,0.0015348526934348583,80.97106380610367,0.0004580121340298258,0.558746682347322,7.9192071575820835,37.25777006934907,33.11701009569347,0.08783011587653451,0.5846215266978843
1,159.0,6.194642811936124,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.16391198119119804,0.038934725444849216,10.306706394487986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.4506546843758171,0.2320848535357149,21.215852616541117,0.2367653953767884,0.03105905890295723,17.796135473453436,1.5899839299105372,271.1786201792367,1.4371210171854116,0.02195959151274995,0.0038827012992534394,143.71974013342088,0.0002513414376738154,0.5555407249660967,17.50437429487113,62.71609688413577,28.83070521014645,0.08783011587653451,0.8843194284413194
2,159.0,5.852723187952138,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1380858689641971,0.03884988435826916,10.102734841868202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.6284829812568766,0.23495389393555163,53.611197259234665,0.27312888766042964,0.02588203649560628,15.960569386105702,1.9185239253544206,192.12019323575473,1.1399727786174516,0.021232996568965462,0.0021688658068198547,191.2574135450416,0.0003127183273782598,0.15443871779950585,3.61736220094223,16.760968460651828,31.25876994488543,0.08783011587653451,0.7323172437872608
3,159.0,6.371275783899663,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12870108011062553,0.03520808205939076,9.379841317866859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.43710858521993623,0.22878797600612377,66.02918093973766,0.5347372005292897,0.021918125235189347,15.3974676443574,1.621641865719349,135.5013832060317,0.9579061528506686,0.003251849727743137,0.0030292148579394006,36.58508711777994,0.00028928006584334455,0.4359240984834099,9.868796194055456,85.36198070968669,8.235754452750687,0.08783011587653451,0.9330764286777729
4,159.0,6.56865737969063,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10658634823416883,0.03706755016380235,9.798651611947838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.45346803117896944,0.22607393657495983,66.14389417496545,0.591303064947714,0.019216881132992105,16.16542930665416,1.4432012541256103,88.80754317880452,1.3422096257680514,0.028336979357872643,0.0009038083197683554,81.11324055889506,8.279686258321956e-05,0.5171351932237829,0.34613851557995107,45.62410828372792,3.154844825587177,0.08783011587653451,0.9388317145951962
5,159.0,5.898539420986659,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09092928004860051,0.03574308344692906,9.706677148926019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-1.514430539061673,0.2258346296085458,58.822054710605734,0.2650007978344734,0.03512927306647997,15.922251363236564,2.4014908364414422,349.4397228434623,0.2726361132636059,0.014385647773527141,0.006889678143727396,69.91067562614334,0.000300500254716973,0.5881745449513762,3.902580001647607,21.728953779214876,18.718523811181708,0.08783011587653451,-0.10647372510193913
6,159.0,6.224768320350807,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13063898908674607,0.0373565360016762,9.806310192213441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.9814080438965608,0.2347690078675065,66.05435453373681,0.40805119589176575,0.01507427607416042,16.233947726476202,2.969671664469667,233.25252912693546,0.8414883748469311,0.022777824179475523,0.003503896314578813,145.89378016686973,0.00048457179381175634,0.07397145613040966,23.74814145606196,5.019624338276367,12.829136066879766,0.08783011587653451,0.3868390610250276
7,159.0,6.152118543922382,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08362055204405734,0.034412578545319455,9.839908875462474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.9346677253160007,0.22469775005751397,60.140453306583865,0.5570960886505357,0.04600598405654288,13.984531390484165,1.8202170864358582,184.90870792023807,0.446439523597693,0.015928039266975443,0.003987861945961419,186.463594300484,0.00046997683209168666,0.5858989270525661,33.790290205755475,36.39998757363108,35.96539589988796,0.08783011587653451,0.48059781664827633
8,159.0,6.58407113059935,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08787291444928,0.03771213402800268,9.494333573255163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.3348228893116382,0.2349756908101431,50.047819252489724,0.28939396031692016,0.020735452256119568,14.064221067573367,2.249358050779533,361.41374880924883,1.6596130792048414,0.016314055474280217,0.00458163701016637,73.6899474546425,0.00045006633429177254,0.5110820296888213,9.861187734645528,41.00928111837478,9.720628460927836,0.08783011587653451,1.076190290247416
9,159.0,5.990919292972412,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.16685366757826325,0.036931216959709426,9.620192446987925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.42626678937950635,0.23499883149638934,40.56099706236645,0.3548337443676832,0.04220477033588724,17.327462580939578,3.011197083994545,237.75241165690431,0.7865934287877244,0.018226766923844416,0.0018326474022365453,145.6354761010125,0.00035902668063603525,0.2648054237083183,1.4092046943103764,56.361665724307706,30.57924531522133,0.08783011587653451,0.9057656370505649
