,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,al_5,li_5,as_5,ni_5,mn_5,zn_5,sr_5,rb_5,cd_5,cu_5,br_5,hg_5,pb_5,f__5,fe_5,b__5,E6,E
0,159.0,6.002698748778989,5.6833947233981394,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10579167073601908,0.037439328784247536,10.467171050016416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.3421422216772014,0.23164016023936887,65.83786680486108,0.36058994864537763,0.04312581757811812,13.758585955966884,3.279861748288922,112.95453219334873,0.4620041673393699,0.00920639629244706,0.0038005967547408964,172.1693109633756,0.00035481269031941305,0.12466333312665094,8.976297202555065,38.80547283329029,8.120470969658294,0.08783011587653451,1.0509522015951138
1,159.0,6.002698748778989,4.90748704723069,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09041734203577388,0.03693640454477355,9.686116968628621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.32748814556738093,0.22084370791413743,65.31960800398133,0.34346984223379157,0.030463746602114868,12.917716028156951,2.268404712704685,235.14509436348732,1.2205529195821632,0.012254740369785844,0.0009732789213813534,165.403117057608,0.0004973472609730419,0.02722399191653064,5.200303452231553,7.307195519771036,26.668218051048775,0.08783011587653451,1.0809806064051797
2,159.0,6.002698748778989,5.3399920482710135,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08260256846899697,0.03767889837401417,9.889473753647875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-3.0264777461471946,0.23499741917169262,58.70997711834457,0.44147066336876584,0.009762988863065297,15.53182752083842,1.6251296220773184,370.4970280015617,1.267872070557777,0.0018352790809139962,0.005090181370374896,70.92356211844086,0.00018673610337523611,0.0015918083999433231,31.223761134650807,22.0174527316043,35.330738212249905,0.08783011587653451,-1.6101942206078572
3,159.0,6.002698748778989,5.304566108519842,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09365397844493913,0.037921193330522004,9.506496957941472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.3272456891250001,0.23490178497514017,15.198035172867653,0.49104574463736284,0.03930139420834325,12.66921037247274,1.7133896200175285,154.83534411490484,0.3620728277615946,0.029551197587386804,0.0008938273775022338,51.006356819423516,7.35623502401348e-05,0.3219468107684792,25.534798214805534,8.544841505268648,1.0959906281590248,0.08783011587653451,1.0779864264383952
4,159.0,6.002698748778989,4.830929082732195,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.14335382777036185,0.0376044332226364,9.8252022583201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.5735623737207902,0.2336388871581656,64.73694528373713,0.49795859927569125,0.03834681898657819,13.852059985308108,0.9654780966080192,224.55225794309038,1.1536690611327227,0.014799997279155132,0.0018382784553315535,152.30903074459044,0.0003987504521782835,0.14740895709631024,7.069784828248904,13.41780190296817,33.509366974480095,0.08783011587653451,0.7819698925171824
5,159.0,6.002698748778989,5.3272117257328855,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10183231840596597,0.038841948303207474,9.707100176457283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.5368478091466787,0.23499534487497925,65.8191910683808,0.5114193483048295,0.047779240245752565,14.74096450880673,2.267810511687344,145.81966260565116,1.1630034921738737,0.026048311473418732,0.003365662763618449,80.10302424024134,0.0003967624246953912,0.22001544186294533,8.46171338533636,0.0871122791314356,18.564045646209543,0.08783011587653451,0.8602059664556898
6,159.0,6.002698748778989,5.190437059696497,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10892661326683097,0.037001681195766405,9.346533800929318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.3696228124810152,0.2346984458634289,54.40505293554697,0.462097700465135,0.013262906979709652,17.705864510205025,1.358152752178526,203.61068828731172,0.9145872505296576,0.01792519969027581,0.005100742420235547,54.59503905099229,6.546979358433614e-05,0.5554072951180199,24.576002741059217,46.79029797829882,39.73530481293119,0.08783011587653451,1.0203366682604882
7,159.0,6.002698748778989,4.758529044150593,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09872289691364557,0.03761491955265127,10.022335746344767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.28632621595583746,0.23477680398460962,65.87930822139464,0.2657400653161273,0.04755822756078802,13.319861634195219,3.2626465079080145,117.82965153509583,0.37323933538028076,0.01640297670358269,0.0019593027136435934,146.8539547564164,0.00015560858086468643,0.2524023612127268,19.803311092273994,4.785424736637839,15.71636843098283,0.08783011587653451,1.1138369811388513
8,159.0,6.002698748778989,5.490986017344412,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1423746248518913,0.0382033880161357,10.09231875483446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.8970371985856715,0.2349156156054303,61.220372928353086,0.4856450945987517,0.044988621261236164,14.23335495550567,2.5167049116321145,139.08224271568358,0.851067420210751,0.008150737843432664,0.004843420591876024,152.67779037388357,0.00016471698628130343,0.15390363085470665,21.777556985159706,31.10356323350741,30.826589584217473,0.08783011587653451,0.45947427057077156
9,159.0,6.002698748778989,5.669269776081158,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.0742397947200107,0.035824686452370184,9.526571758209787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.6322476475847499,0.23229012700075322,57.61974348067294,0.5971841707153445,0.02434827853354592,16.45152911540584,2.709342129927341,236.29462617175037,1.669853954051609,0.023866694571186346,0.0035843739589204787,143.69632449324303,0.00048440496630420697,0.08781705894454209,6.128488332158412,3.9155381437252945,8.822983096246507,0.08783011587653451,0.7923986517035739
10,159.0,6.002698748778989,4.880077630448361,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1415585459050062,0.037276941430115125,9.794391262421323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.20584028783214373,0.23373074346596087,57.12208788553017,0.5693617306302378,0.029488706303068213,14.338122835435312,1.363651072452202,101.5512323633568,0.07891054083498707,0.029431080543930403,0.006672031156348205,113.36974651056329,0.00015858808208099267,0.07361528409357636,24.71236378019884,57.248300961223116,20.847879810900896,0.08783011587653451,1.1514872602711845
11,159.0,6.002698748778989,5.7627311320891375,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10144436808011442,0.03648508550401856,9.826385561954686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.37191557351534693,0.2349937118664393,60.80803504602907,0.27558039038185056,0.027413678831669216,17.499650521912486,1.6925224717469398,153.27108229388543,0.7487859210745971,0.028965769658194696,0.004235123794264703,63.41008257644619,0.0002187436481337035,0.01662473277730744,12.710402597414543,66.77696067859199,3.369906937661152,0.08783011587653451,1.025526152412873
12,159.0,6.002698748778989,5.253952791154935,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11598842701888258,0.03672604295014477,9.684701689163836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.5650778189720166,0.23485197197723745,65.99733997914346,0.38858360190904134,0.015695839871274278,14.007298006018157,1.678473305221681,316.55293661806155,1.606196284064024,0.02645229563482356,0.006190913268829799,98.97487018458509,0.00048476824340073035,0.39550489707768394,18.79305711953125,66.27292948436106,32.29969093387902,0.08783011587653451,0.8178198480174352
13,159.0,6.002698748778989,5.469501300622408,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1776502733131606,0.038933374629583906,9.906433071534085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.646840843259355,0.2244538794797633,47.767807873196276,0.39544868261387933,0.03252596291137926,15.425214951579298,3.5312486063843727,329.6649704478365,0.9785123129360012,0.0003514959955172725,0.000735866748163435,167.34232504984215,0.0001848907108777041,0.010095812118822123,6.4974880558068655,45.35049675630545,6.622049354049557,0.08783011587653451,0.6743949774358189
14,159.0,6.002698748778989,5.701984321207834,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1413147065092091,0.037427562924058605,9.807905533016507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.7688369950081148,0.23464924381948749,60.24460603422738,0.43059724594590915,0.03800842005879351,14.703634930816035,1.69369598848297,260.0350373054113,0.15349160680384846,0.00463718739928325,0.0056232049843016624,120.72984021932446,0.0004872026207435565,0.6070210810163937,5.964771700428868,53.3944971846117,8.871610528504432,0.08783011587653451,0.5887343924910107
15,159.0,6.002698748778989,4.861604732727889,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12048632974119869,0.03676880313113036,9.396154672111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.1507842145427371,0.23268306860969631,36.443435190337325,0.3117662254912413,0.03604333781735124,14.012100154369364,1.9674119393885763,222.07021834313355,1.265611270294996,0.02655847869315893,0.00014480828082612184,2.704454583987058,0.00044093980628887524,0.050065096115349296,24.727418516679492,80.51908043942998,3.4326539508030853,0.08783011587653451,1.2276155497243986
16,159.0,6.002698748778989,5.204359424665044,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12711316918169452,0.03836643547905701,9.601560093490706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.6195780954147301,0.20900700510385706,63.04932025977873,0.3770336564906853,0.01828602580059151,18.321592066222955,1.6667011953880897,349.18689736996726,1.645126354695351,0.022217024321883938,0.001381442275957635,156.64245023132128,0.00015116882577559658,0.127909035178045,0.4381340991166741,72.283609860953,18.846990870336022,0.08783011587653451,0.75219482941191
