,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,as_5,rb_5,li_5,sr_5,al_5,ni_5,zn_5,mn_5,cu_5,fe_5,b__5,pb_5,br_5,hg_5,cd_5,f__5,E6,E
0,159.0,6.002698748778989,5.167161303586491,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13719664066702306,0.0399934665916636,9.324302245764972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.6989572336785981,0.3180898908090576,0.537049446785964,64.4938780270299,355.46179885108984,0.2329068552414356,0.04170174392388703,2.0708973707179887,12.691656036117983,0.0006585882299026939,39.283912485721956,15.901206029944412,0.5257883243891037,26.34257413739561,0.0001838850314188536,0.013644660650040172,30.463681046766805,0.08783011587653451,0.6627322196627133
1,159.0,6.002698748778989,4.9430525449456075,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08918057770750089,0.03768426440190465,9.62250338612104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.31567950573582626,0.4213199842591753,0.5367853755946225,45.76612399489726,146.5323490891131,0.23473881503087823,0.0343069918635136,1.4246931443808966,16.068637361693543,0.006162661964637163,16.80838115134656,1.3720671319166098,0.2097338296408228,75.13828931966931,0.0001403630405495732,0.002784201143826851,10.068399867261963,0.08783011587653451,1.094026010565007
2,159.0,6.002698748778989,5.0596753359648785,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09735380855469836,0.03671253515919605,9.3663077416724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.3225710346982442,0.6551180310808796,1.3214485682394315,28.97256413277443,154.7342068639196,0.2349449786678274,0.041611550049735144,3.084077629450555,12.44081809813856,0.005173575916533749,6.8731399351326115,22.465990331108927,0.26283808258061603,145.95276102013918,0.0004907800147765718,0.01753142694547468,33.98051540856857,0.08783011587653451,1.0789612507553918
3,159.0,6.002698748778989,5.000444552080476,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1236680969003611,0.038244218906064865,9.84019437350542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.20467358362894356,0.30641615991168286,0.06923712937054896,52.08561149567692,142.0206142420798,0.2348550805468531,0.028854951309453192,3.3062248449632565,17.52663274209265,0.002217889112134839,17.440264196570674,25.095478620351802,0.5114778100193457,125.73099005851869,9.141037375270723e-06,0.007431038632014125,10.530331514511875,0.08783011587653451,1.1705444134790297
4,159.0,6.002698748778989,4.7555092180515715,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10980834490507665,0.0370041554728573,9.877352117452551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-1.0732338230320444,0.42129606425859445,1.0066036456270495,62.12517113592661,286.3696502725769,0.23382547203209153,0.023426717288912692,2.7512248254012386,17.552036465763397,0.002234079010585428,7.192715370670126,33.61363882132299,0.017759936980660706,169.70210180216037,0.00019879419924090968,0.029864683567818608,23.854776629417223,0.08783011587653451,0.3158439260712134
5,159.0,6.002698748778989,5.155954659655432,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12916692435705485,0.03884840348542125,8.874302787050002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.43335097750215706,0.5424653335392221,0.35811117299712947,65.85457625687808,131.96981666082985,0.2246967662239658,0.010846347096294872,1.036126148878276,12.906007023338809,0.00494873855821753,70.4825612076361,34.77752147555917,0.43262495980374416,204.52367632041782,1.724048414132229e-05,0.004780621769119817,21.910119579963478,0.08783011587653451,0.9363681921491226
6,159.0,6.002698748778989,5.100935312501322,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.28343797533500104,0.03835714016859277,10.060778831306106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.36402013424843793,0.5108969591381205,1.3509754169852686,28.548398969693366,237.96908752953382,0.19490537005747896,0.0075460700098571,2.1593515205310165,17.552763565521655,0.005308190116846105,20.38721733583331,31.46997330495621,0.6453954272649389,68.1052607770777,6.452822512807471e-05,0.02000165500712185,32.97771395272646,0.08783011587653451,0.8514279844248954
7,159.0,6.002698748778989,4.896757979604319,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12615115003076266,0.03629687294420857,9.835088074056625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.7770219745093212,0.4051642664534955,1.5207796765805974,54.15890329300577,130.55624019850302,0.15300824982121497,0.01699128509394088,2.6260752806381897,12.056204964113297,0.006149184820872146,77.76325461541045,27.30589800600865,0.18493908983636875,201.0849855365434,0.0001449892571358537,0.0023197215953711338,2.9426253403599087,0.08783011587653451,0.5957129694682507
8,159.0,6.002698748778989,4.962281273862201,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09856414006053427,0.036694949530191645,10.06936283138473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.7274564074803315,0.422773490605734,1.6934256221777306,61.92923226556189,292.65178092096664,0.23476529406153882,0.007635238745889854,2.4763659888885483,12.87514728820789,0.004913420321485729,2.0038783600274765,0.14164667416726515,0.5884485392525202,79.97697984192106,6.883323824491067e-05,0.009386478035185627,34.800153622811465,0.08783011587653451,0.6728655464674689
9,159.0,6.002698748778989,4.797260053738281,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1345415970196612,0.03771407711159919,9.677501197436998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.9756013965791522,0.6238477587707547,0.6603741885215453,23.05669598188789,294.6425502657864,0.2348009043561062,0.02980329432448802,3.2473605170648807,17.314514856143223,0.001736479278046383,58.368674469223876,7.11356139131387,0.38543269259611757,13.215102778766342,0.00028963168926026187,0.026565366846613606,10.62851814071557,0.08783011587653451,0.3887431004095209
