,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,al_5,li_5,as_5,ni_5,mn_5,zn_5,sr_5,rb_5,cd_5,cu_5,br_5,hg_5,pb_5,f__5,fe_5,b__5,E6,E
0,159.0,6.002698748778989,5.275,41.16351071117789,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1707355647447744,0.038446068584905665,9.585031075455346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4638443442623001,3.0,-0.7221958435644,0.23445774675022468,65.77479461402186,0.4268525858187401,0.021757026297443267,12.607157662977938,2.458244982308683,128.868126712211,0.7619765453867287,0.01395777629650362,0.0008618947254811929,175.83432095074932,0.00041954735687534686,0.40154128395381017,19.862999272996472,25.128912700631542,25.74369841369368,0.0905824032548715,0.6614953392079973
1,159.0,6.002698748778989,5.275,40.1977075245861,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11356318590838252,0.03662280798733721,9.737609524949908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4202365635458,3.0,-1.7336035514090586,0.23482692404394945,65.69203133197932,0.28180439232218496,0.013859751646350987,16.568922671879232,1.3266893564008317,255.86362519099663,1.500080468635156,0.013913660604891642,0.003941448851912554,165.52987237815984,0.0004142823501216204,0.2649203838539605,4.455758669559496,20.03523854766628,32.11802416639842,0.08829218633587145,-0.33863798743576967
2,159.0,6.002698748778989,5.275,43.17712310059093,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.2081238072378998,0.038795407950586454,9.56186314812234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5556501984023001,3.0,-0.23036480022489028,0.23498870129212712,65.95606344809552,0.6405537474834102,0.02240236650886152,14.169678784382663,2.3251784152106123,124.8785001320137,0.3259484481723924,0.003981537643135996,7.743904713204542e-05,132.44768709844126,6.58274419745426e-05,0.2746145030932929,21.64450694824526,62.367107902086374,6.091472381171395,0.09533712562350326,1.212498716563013
3,159.0,6.002698748778989,5.275,43.387822844889925,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.16414918754400828,0.03788017405446066,10.300875255544227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565289813087,3.0,-0.37849466394509396,0.23133546136625682,62.84521165910673,0.30285021135482937,0.011698072643474083,17.419345861133166,1.5904892135499955,117.25525663710157,0.05417756547093684,0.01450791538613817,0.0024615949492108454,151.40763955059077,0.0004944800642231538,0.15402655739430748,32.90052602462724,47.23002213943436,8.098220382836661,0.09583262441139599,1.118478586009294
4,159.0,6.002698748778989,5.275,43.46248801281408,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11487185715508538,0.03790563110774743,9.479154130310503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5685030179819,3.0,-0.38020946638081604,0.22658131947903853,66.12692303565044,0.5690991841670867,0.01962607895423311,17.039074084763314,3.47786717148102,302.9469766485139,1.3212090932685865,0.010686141425059265,0.003508486067328278,24.516978818947027,0.00042963594238886843,0.5457049856386996,27.94758736146555,7.5985820226255525,9.291001907968655,0.09601400636941686,1.1694357008154155
5,159.0,6.002698748778989,5.275,36.7071002037368,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.19454002202590343,0.038262588642288604,9.449445072993996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2614124358836,3.0,-0.37292514169375734,0.22723597059994724,58.99162046086076,0.5191912644657523,0.0161821319708977,17.459268681484023,1.6144934917255611,316.2432844671023,1.3318127827850763,0.0013018233822044312,0.0025498811392774107,35.29098672222706,0.00014832935228434614,0.06333990157518861,32.85115510715043,40.727827916631156,12.283867093718696,0.08003318224361304,0.7739804544075523
6,159.0,6.002698748778989,5.275,38.30578600491002,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11259481123619418,0.03732557896211805,9.60100025883097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3339390606541999,3.0,-0.5941053187040313,0.23370794793574012,65.84609518493026,0.5545055657119671,0.03511537727279685,13.61252149138329,1.832504991093215,361.5295399188318,1.6287274553642017,0.006591263620848634,0.0039095257221877545,197.31774843788043,0.000463153289847853,0.0006822362338936017,17.189014652203344,62.77988648044373,31.084154483531172,0.08382145144531591,0.7110603821592905
7,159.0,6.002698748778989,5.275,43.10210053955736,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10930307727132675,0.037525338340279095,9.836911714491379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5519779642367,3.0,-1.9314451057010693,0.23457452852169947,49.11785870075672,0.4071514775680142,0.010328329603310819,16.324193442641427,1.4979572703895085,237.74109702408055,1.0127716790673362,0.0025227752573344074,0.002851348300776766,66.48335657961813,0.00045286854013947654,0.610209685045561,22.569383127931648,81.95540168832567,26.121857081178337,0.09516340447899739,-0.39360681425669874
8,159.0,6.002698748778989,5.275,42.106797589582186,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1852334612285891,0.037561028678381486,9.654371962284877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5069930957081,3.0,-0.470280090802744,0.2348090168779232,57.555724542708944,0.4810194009783985,0.024817153474636866,12.5778645589709,3.0836064135582864,307.94839937143246,0.931812351024919,0.009752337959459456,0.0057077189229960265,186.54268373624487,0.00027773507601225523,0.2680703435901211,3.4610664832943816,38.030221839665,26.079343379282417,0.09280989513457258,0.9442894388113394
9,159.0,6.002698748778989,5.275,41.53479958089943,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.0985041515881697,0.03693375857853322,9.647122833912862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4808284272782,3.0,-0.6115203119761012,0.23340534528549106,64.99822743386719,0.48287197677635263,0.04776224645131,16.684758191829435,3.277100683191286,372.6131752695938,1.087382849062175,0.004448321723022815,0.003757689792424809,50.31887986246757,0.0001792289899375726,0.6366279313305119,27.115736720875518,29.198294458658044,29.3736101173026,0.09146008695846439,0.8622640506723934
