,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,as_5,rb_5,li_5,sr_5,al_5,ni_5,zn_5,mn_5,cu_5,fe_5,b__5,pb_5,br_5,hg_5,cd_5,f__5,E6,E
0,159.0,6.002698748778989,5.275,41.906674442462226,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10931005357795201,0.034921420297065936,10.209857286971854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4978125102941,3.0,-0.8471617006877036,0.43049153876459906,1.1582879072340002,65.80821206541626,327.0541563102147,0.22511433599779843,0.04056383756800101,1.6726544645028198,13.364616416139107,0.007701057340631941,41.934967883947266,1.6249281171235412,0.14984869786321256,139.91717487930947,0.00017508644674611978,0.00774514950335366,17.260484134771303,0.09233485386740337,0.6336756098958477
1,159.0,6.002698748778989,5.275,36.558401202596905,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1509451746764926,0.036705622940377755,9.162647402164167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2545269968230999,3.0,-0.2682703235295697,0.7665150776879522,0.24973773280612702,64.57147070847354,325.24010671046454,0.23112565509002067,0.01767718052011539,1.4184407942567288,15.939980988889284,0.005785235072844334,82.48111002386212,32.02150975247185,0.5311235010105461,74.00759075478645,0.0004648968154639022,0.028002302861572334,5.713754103217334,0.07968282553841659,0.9149943241554542
2,159.0,6.002698748778989,5.275,39.644895608001754,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12027262790016892,0.036486014833600554,8.803484898870806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3949899536573,3.0,-0.4615727255485633,0.6362726098863335,0.9965431219363604,66.0912596150867,147.2616536986231,0.23465567980186852,0.03728064839929338,1.463795299519939,16.91259533809911,0.0007449102741997101,31.847097898115994,19.46618582266242,0.10775216792821467,57.57436930305861,0.00013514943873011486,0.0004801139883912364,32.19910057479039,0.08698627065313351,0.9001308708617013
3,159.0,6.002698748778989,5.275,41.66027677293417,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08680114083901948,0.03725144542609043,9.791152962428301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4867958077973,3.0,-0.5721264187736967,0.6091092445049274,0.1395626919541916,28.687730210082634,332.6321845294167,0.2331822786061623,0.013492458867839265,1.0112552312555427,17.634978591004582,0.004369732097422696,63.678031440835504,18.844692768042005,0.1598004837082944,42.47975961953652,0.00046988361384040276,0.008903065995237743,24.40652450891198,0.09174991676701222,0.919618164951596
4,159.0,6.002698748778989,5.275,39.73058041414494,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10710714627117475,0.03819011043832428,9.173758343860376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3986621878228997,3.0,-0.4982271224013057,0.4161186576489737,0.13329597672169527,66.09708030746859,181.7744995063607,0.21994819242514752,0.02373290021709961,1.6958238648912995,14.549771682233068,0.002545366314694677,89.70444910604687,0.9525565061892497,0.3518342693621379,159.99545231287945,0.00015598149705524722,0.027539384619234872,32.06665491938105,0.08719368652281966,0.8805216056732389
5,159.0,6.002698748778989,5.275,41.09809488533775,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09542433771242236,0.03665604606152257,9.810635973113522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4610901686381,3.0,-1.1112832384486666,0.38388234992726583,1.5173889809085233,59.26208442590981,303.65434867867924,0.23499262632107654,0.04540214480606156,2.1729410632354966,11.780134346641157,0.0029752658662481283,17.558776332600843,2.799329043056997,0.34953855082526986,52.288763441033524,7.012018943690956e-05,0.008897020442715512,35.21648120216244,0.09042306907209753,0.3448056615491084
6,159.0,6.002698748778989,5.275,39.40386081882589,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10149451358678324,0.038385892213254086,9.182854572109356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3839732511604999,3.0,-1.1505417853471827,0.8269207926674033,1.0310976943149026,64.69609522494231,258.92689696350567,0.22783836385348002,0.007776793804667695,3.0691378203543622,14.657442593375446,0.0032997614596294174,0.9378332414530626,32.832591203481805,0.25526062913121106,84.24079699297151,0.00039170350427757713,0.017445648385754978,14.92265928704943,0.08641719541970946,0.21835414764624336
7,159.0,6.002698748778989,5.275,38.7436568485344,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12043382446032343,0.03780286167673843,9.441556111822392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3536773192943,3.0,-0.23578416130274782,0.7354337367726734,0.9282928819676545,60.695124165043346,364.0117047224181,0.2343152884457343,0.02168142155164968,2.4985217797556087,15.939029798343782,0.0036994442280031395,55.66667427767607,17.41164943873458,0.27357004847457495,12.205410105610014,8.083764047863817e-05,0.0010135771171344132,21.099719895030095,0.08486259043102813,1.0823219239622568
8,159.0,6.002698748778989,5.275,41.83094566698642,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13050630254690143,0.036584059631443774,9.105762132312611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4941402761284999,3.0,-0.5528397378945566,0.7708336726604289,1.3809496988788754,65.92872919172149,163.93761587154256,0.2342605255977865,0.021157645283529168,3.393131888524917,18.16663717879284,0.005966108720684891,82.00401887964,31.255111293155114,0.6321090940104158,162.056930971655,0.0003582106254456453,0.0019349955561294085,30.38519794484781,0.09216323133529047,0.9029574670223324
9,159.0,6.002698748778989,5.275,39.145053109981895,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11484301574275477,0.03655448357723347,9.86464807058465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3720384901223,3.0,-1.6465758656873435,0.4490894121131924,0.04899025631014407,61.122650903753495,215.27289281221957,0.23093506681800285,0.04216120644945336,1.564305076594605,18.10410716373652,0.005307662596544205,47.25379272276145,3.4119455547457336,0.21375536571125212,20.51958656206961,0.0004939183372793864,0.029835372416761256,27.668124310917694,0.08580948939423323,-0.303570901913565
10,159.0,6.002698748778989,5.275,39.7877395248455,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.07254938564675985,0.03698974639649326,9.38434140165688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4014163634471,3.0,-0.5911051128205683,0.43847490826586544,1.6628983309442442,64.01851522293971,223.0344751548598,0.233135798621257,0.041070925914814926,2.1978058332617745,17.758131928122047,0.005094740891695059,62.54218825407482,34.98042304696003,0.26979385924867044,102.4721143866645,0.00026951823729046587,0.005343875058265193,0.7833833456683847,0.08732572506429445,0.8250875900440663
11,159.0,6.002698748778989,5.275,42.9493345370461,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.14058067496864893,0.03681373210820473,9.946161051335434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5450925251761998,3.0,-0.5183860816870436,0.3066608102626927,1.0417125778045984,65.88056113550164,347.56941590154213,0.23493207257144066,0.020021787864775174,1.6578680427713408,12.897188073863738,0.004028596076899869,2.6622544436766735,21.9842376843715,0.2732024644017068,176.36140547309805,0.0003866073205193563,0.02823167356813153,33.12026392689422,0.09480520126429567,0.980930969784803
12,159.0,6.002698748778989,5.275,42.72967699594252,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10649695565080126,0.03802501176864761,10.019958461167862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5354529104915,3.0,-0.4288345744575085,0.44206817820585037,1.3451222175335116,60.61486394935267,93.21743198681199,0.23468987378059752,0.01856592988600431,3.4399079797469376,17.96142401960406,0.004620996415894204,69.3907323834443,36.82548824730077,0.3029230438316455,79.31349262942322,0.00028938924096513823,0.005176075391622388,33.635713972502614,0.09427561256242704,1.0943969929456174
