,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,as_5,rb_5,li_5,sr_5,al_5,ni_5,zn_5,mn_5,cu_5,fe_5,b__5,pb_5,br_5,hg_5,cd_5,f__5,E6,E
0,159.0,6.002698748778989,5.275,40.0,93.98627794085495,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.07673383258586221,0.03866566177930091,9.511022326629869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4177320921763998,3.0,-0.9070042098521176,0.6262780708314594,1.5595530105859212,62.15881128650093,201.98781015535855,0.20599381279347992,0.02293095349814961,2.4631762359056997,17.345803732979483,0.0019289946319796109,66.79360208504802,25.316571862126747,0.6411802318089469,44.387904222123815,0.0004755945259106241,0.024938139990975838,14.463586818522392,0.08088476912488968,0.5148788188633098
1,159.0,6.002698748778989,5.275,40.0,94.80330884948168,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10104780897463216,0.037213860889374145,9.604080858360504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4158029950063997,3.0,-0.9439073566565672,0.6380659759742766,0.009862098151674097,63.68216134672546,146.81054702812398,0.23477386373287867,0.02072217302650276,2.7220887267316103,16.68899672097122,0.006773869491720685,74.4260673437184,32.72190680716847,0.46697179151463364,109.25615165533144,4.803388703994693e-05,6.858239482758321e-05,5.472812556748201,0.08153975706927043,0.45238758644447086
2,159.0,6.002698748778989,5.275,40.0,100.3004012066339,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11026245110018464,0.03867966412564599,8.770484274329464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4119778709035997,3.0,-0.8768580799957412,0.687686893225707,0.5623424795612932,66.14697517561767,328.02600548387744,0.23432239763027266,0.02164069571890927,1.4849673661723264,12.717016313772385,0.0026439995182749166,61.82643032837698,33.845604736891424,0.5030112578136618,9.686128575060886,0.00016223929011681927,0.004653406769485928,19.970850620752234,0.08590122857324872,0.5107585683809226
3,159.0,6.002698748778989,5.275,40.0,95.2401093815464,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13219308778828218,0.03625847344776857,9.961849246045011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4172880403682,3.0,-0.2154932943510817,0.34245886031686545,1.0751939765498997,63.30175855521905,299.97643152048005,0.23476782139999394,0.03570325478474933,2.2489889690167644,14.140065102478765,0.00739334114564446,3.7490500668839766,43.97836133963826,0.16927136888560956,47.86853944107996,0.00041757190441711975,0.0035796678695051353,12.939361994935904,0.08188422188049177,1.151485880109328
4,159.0,6.002698748778989,5.275,40.0,103.43784910401453,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1485415219720133,0.03875869089162452,10.125671746898394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4094923310468,3.0,-0.4907964751990023,0.209321116954718,1.132941719714656,50.63145273807853,334.8031508824998,0.23499235802608642,0.040598370781230554,2.8499807687301875,14.188922172662883,0.003255108225474158,24.073235941083862,12.81684031318779,0.15044749033538682,14.904339604874123,0.0003279177437422882,0.005443905046263436,20.194443107607295,0.08837432593627313,0.8585286598120573
5,159.0,6.002698748778989,5.275,40.0,111.33223887405784,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1273647605358703,0.03891231474630775,9.792296973430137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4058121887809996,3.0,-1.5120479719012443,0.31193325814750794,0.3577214931072824,60.92847625377514,215.9464678482051,0.23499044199008282,0.01888224977963008,2.901700880992387,17.641783710626083,0.004068864425016214,50.64467199643968,7.795370391903933,0.5256574364090756,159.79750453560004,0.00035026190959172083,0.009036265652421185,2.3835175216470246,0.09453804227735917,-0.13906250137875587
6,159.0,6.002698748778989,5.275,40.0,107.20485440857301,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10114564358033579,0.04183984335901188,9.91776296257581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4080810946201998,3.0,-0.30799861069603707,0.24406961424887083,0.9502292837128997,62.46902311803624,232.98261671095688,0.234207452300177,0.043209808644125644,3.524739317887114,15.092253945882662,0.0014490417810188974,67.04096747868405,16.253914682190807,0.3195457829472387,89.27977019879611,0.0003591675796243527,0.002141214364015739,25.58119598676432,0.09132068832234508,1.090257528666172
7,159.0,6.002698748778989,5.275,40.0,104.6542354612215,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10834376424097159,0.03725078622225261,9.578538677819187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4090255134955998,3.0,-0.5935488583129992,0.375812597104442,0.9132418566981981,61.97089845176882,233.32393465761882,0.234984348887292,0.041657016339969745,2.066527291722268,17.829002880238473,0.005843405756468266,7.020770326352309,3.7374843599793586,0.04206326636411757,135.77508442980877,0.00012569666153252002,0.020598348573751916,9.310492440572958,0.08932471739120813,0.7964576083328371
8,159.0,6.002698748778989,5.275,40.0,95.59113734501528,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09142650752278611,0.03768748960439979,9.092606570908265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4160916406636999,3.0,-0.3716978168602635,0.6807693070882087,1.6211130757912415,30.32815405551149,251.47970365816224,0.22847612672338324,0.03150950245973249,2.279322495857142,17.613165440845517,0.001541030675233678,11.06138413090673,33.73170712746722,0.5104129592311359,0.15484641310968328,0.00010150923016757052,0.004464462895409638,7.304399991815636,0.08216705236990259,1.035134368650553
9,159.0,6.002698748778989,5.275,40.0,104.20077687506128,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.18522255813938368,0.038103130647836006,10.224338649006324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4102209546424997,3.0,-0.5285418025499193,0.3215330755755456,1.2936320739140261,36.03101047259081,218.27940968225147,0.23272478214318795,0.042706721717559626,2.92407984526189,14.702536429822617,0.005779894202763637,49.847407194180775,38.50187001191339,0.4763531767837869,75.97035234969856,0.00018986587246449472,0.0051389280075554876,14.023868191368203,0.08896526660361692,0.7854218605568137
