,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.004949665229446487,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02185800235980534,0.0,3.5083193200921026e-07,0.0,4.706577212588603e-07,383.63548154399996,4976.775,-1.9236387583734403e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76785280014246
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.0052651817344480725,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020984967699998008,0.0,4.146227679893254e-07,0.0,4.5877739778212303e-07,383.63548154399996,4976.775,-3.3300966767753947e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76697976548263
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.004761410027560089,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01979406928365312,0.0,3.413815763779969e-07,0.0,4.1868712637584933e-07,383.63548154399996,4976.775,-1.815137001312231e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7657888670663
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005465586364485245,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018146957317542917,0.0,4.3043246270737787e-07,0.0,3.8366248882984057e-07,383.63548154399996,4976.775,-2.0035841551296836e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7641417551002
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005448844265335852,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020925053755271456,0.0,4.373538718960169e-07,0.0,4.2855442729050226e-07,383.63548154399996,4976.775,-1.8535375717947883e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7669198515379
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.0050530804649471656,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02096891149674568,0.0,4.0278239740179354e-07,0.0,4.3982228988376116e-07,383.63548154399996,4976.775,-2.522550549957497e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7669637092794
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005264831139086743,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021312663992766486,0.0,3.5749227312315467e-07,0.0,4.7219050233420507e-07,383.63548154399996,4976.775,-1.310144669539772e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76730746177543
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.00545766208960294,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02128957004348082,0.0,4.3237848174684616e-07,0.0,4.5367095795612183e-07,383.63548154399996,4976.775,-2.1661291468126448e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76728436782616
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005332508131099161,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02141943255594235,0.0,4.043501005031625e-07,0.0,4.3970530815356134e-07,383.63548154399996,4976.775,-1.315148043257118e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7674142303386
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005085836992519624,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023235207312985492,0.0,3.6244935393217517e-07,0.0,4.859157332653515e-07,383.63548154399996,4976.775,-2.3932278844598123e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76923000509566
