,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1379.4405061799548,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021552461633360755,0.0,3.7396578424460523e-07,0.0,4.3298629172841615e-07,383.63548154399996,4976.775,-3.8732621025159436e-137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9077885969331428e-134,0.11034710019344018,383.76738110582676
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1351.695809139445,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02184921007634524,0.0,3.493099849703575e-07,0.0,4.519841124944618e-07,383.63548154399996,4976.775,-1.6454163366721114e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.867065461824193e-132,0.11050367862512221,383.7678344327015
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1249.9549279942125,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021793342945773713,0.0,3.860548301654389e-07,0.0,4.87554815073099e-07,383.63548154399996,4976.775,-3.746006556218094e-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816097153681801e-122,0.11107911999564747,383.76835400694137
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1329.2371000181518,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02156195704909867,0.0,3.462284992281578e-07,0.0,4.4235374358072967e-07,383.63548154399996,4976.775,-2.1753722262012368e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5517902520122405e-129,0.1106305333736651,383.76767403442267
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1225.8453588485586,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021805158800253455,0.0,4.114399314881671e-07,0.0,4.357499922361449e-07,383.63548154399996,4976.775,-1.0026649662979331e-122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0108929818945618e-119,0.11121577322434026,383.76850247602454
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1405.6784515609654,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02128834088796026,0.0,3.998741922679965e-07,0.0,4.408851057656715e-07,383.63548154399996,4976.775,-1.150640585813066e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178990266808294e-137,0.11019916088473285,383.76696904577267
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1335.713212093755,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02052334245193913,0.0,3.9997490096097284e-07,0.0,4.4602305136023117e-07,383.63548154399996,4976.775,-3.1528169699009363e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.609245426600341e-130,0.11059394408081251,383.7665988305327
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1447.0115430586056,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023121193709453296,0.0,3.836194085722391e-07,0.0,4.959549756046257e-07,383.63548154399996,4976.775,-5.906384233715948e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.693874545598531e-141,0.1099663771061418,383.7685691148156
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1290.175937600953,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019281218765606442,0.0,3.4564253710420094e-07,0.0,3.9471366735274754e-07,383.63548154399996,4976.775,-1.8363026433712776e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0264396828947219e-125,0.11085139489453223,383.76561415766014
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1408.9363046332496,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02217390664015942,0.0,3.695746052011224e-07,0.0,4.916323437643058e-07,383.63548154399996,4976.775,-3.642766749524673e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.486568805449581e-137,0.11018080110223619,383.7678362517423
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1276.0679718155461,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019455575646605425,0.0,3.4539996686924987e-07,0.0,4.3991324578355327e-07,383.63548154399996,4976.775,-7.69066009399439e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4615440124330237e-124,0.11093123670655454,383.7658683563531
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1455.5062463322438,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020255671538186547,0.0,3.4712089679067346e-07,0.0,4.87213454728562e-07,383.63548154399996,4976.775,-6.890862618336511e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.929153510811406e-142,0.1099185763521995,383.7656557918903
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1436.2527151159447,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024932584369549832,0.0,3.58820951465173e-07,0.0,4.947127095756125e-07,383.63548154399996,4976.775,-6.296291783494012e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294593720736148e-140,0.11002693821810981,383.7704410665876
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1328.6661074511997,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02198079552279888,0.0,3.7855813064236556e-07,0.0,4.500281697402769e-07,383.63548154399996,4976.775,-2.610202855877355e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764740089386588e-129,0.11063375980190995,383.7680960993246
14,150,4.741903252197481,4.6,150,29,0.35,680,49800,1408.6585264141197,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020349240525021732,0.0,4.0490558299521184e-07,0.0,4.332623305671146e-07,383.63548154399996,4976.775,-8.397586019819285e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6470945718166137e-137,0.11018236645499777,383.76601315098
15,150,4.741903252197481,4.6,150,29,0.35,680,49800,1441.287375853578,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019754583818234105,0.0,3.7661409263392115e-07,0.0,4.0678828140294984e-07,383.63548154399996,4976.775,-2.6838528108289816e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7037337964037876e-140,0.10999859550635036,383.7652347233245
16,150,4.741903252197481,4.6,150,29,0.35,680,49800,1435.0386379333827,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02099034830651308,0.0,3.8651674870477075e-07,0.0,4.5077028267298337e-07,383.63548154399996,4976.775,-9.72751968132591e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.959520129115219e-140,0.11003377361395252,383.7665056659204
17,150,4.741903252197481,4.6,150,29,0.35,680,49800,1238.6345256218742,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022896241145214324,0.0,4.118058655110012e-07,0.0,4.5406556570189755e-07,383.63548154399996,4976.775,-1.610496716735231e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1285065687661506e-120,0.11114327025481488,383.7695210554
18,150,4.741903252197481,4.6,150,29,0.35,680,49800,1309.8470115675723,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024771489130386397,0.0,3.6647093984677385e-07,0.0,4.994256417252098e-07,383.63548154399996,4976.775,-4.4062444535310374e-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2227618729601342e-127,0.11074013320936328,383.77099316633974
19,150,4.741903252197481,4.6,150,29,0.35,680,49800,1293.7460094601681,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023518910051258494,0.0,3.9308948704752445e-07,0.0,5.014959102076685e-07,383.63548154399996,4976.775,-4.971045500236557e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5935799022441406e-126,0.1108311966813821,383.7698316507326
20,150,4.741903252197481,4.6,150,29,0.35,680,49800,1450.1761918514967,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023084924698931118,0.0,4.1035526073064436e-07,0.0,4.925780889647032e-07,383.63548154399996,4976.775,-3.4595174042312043e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301457732068961e-141,0.10994856761692241,383.7685150363158
21,150,4.741903252197481,4.6,150,29,0.35,680,49800,1384.3037282248392,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02187647330410636,0.0,3.1691527803145206e-07,0.0,4.791636140610285e-07,383.63548154399996,4976.775,-5.024493962683267e-138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.380687128360538e-135,0.11031966957685643,383.767677686881
22,150,4.741903252197481,4.6,150,29,0.35,680,49800,1337.0568727012403,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022318985232717362,0.0,3.5561027349438076e-07,0.0,4.846340438615346e-07,383.63548154399996,4976.775,-4.1772191944352945e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.666830684502167e-130,0.1105863535586674,383.7683868827914
