,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.03895661852853918,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020496992775718707,0.0,3.9607591670732714e-07,0.0,4.3303700509266917e-07,383.63548154399996,4976.775,-1.563984475626021e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76649179055835
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.03801730746110773,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021399019710014948,0.0,4.1253215067645096e-07,0.0,4.2575418997136104e-07,383.63548154399996,4976.775,-1.166197636829207e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7673938174927
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.03602440102724904,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020001047990460902,0.0,3.739533585437449e-07,0.0,4.025100185118414e-07,383.63548154399996,4976.775,-1.6983191380215804e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7659958457731
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.03645983659065451,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0195510409420862,0.0,3.531295109117727e-07,0.0,3.98726046948548e-07,383.63548154399996,4976.775,-1.1222970800040244e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76554583872473
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.038767641214897834,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022091449626534976,0.0,4.2409686280131476e-07,0.0,4.4449106261990606e-07,383.63548154399996,4976.775,-2.5831358583825197e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7680862474092
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.03626671814270508,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02201366985121983,0.0,3.844663265013625e-07,0.0,4.78333122467337e-07,383.63548154399996,4976.775,-1.3974670631162466e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7680084676339
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.0412052549539544,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02087608577320154,0.0,3.861532448550451e-07,0.0,4.572684797125634e-07,383.63548154399996,4976.775,-1.456035684205659e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76687088355584
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04301529813867658,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021701174966869918,0.0,3.2564022123555436e-07,0.0,4.825621958126592e-07,383.63548154399996,4976.775,-1.2747848581108502e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76769597274955
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04137240846005906,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019991843951676747,0.0,3.739695278473295e-07,0.0,4.3474846393841894e-07,383.63548154399996,4976.775,-2.506854324996631e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76598664173434
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.037549647924565055,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023622557694914018,0.0,3.9546726108821996e-07,0.0,4.6081872397577094e-07,383.63548154399996,4976.775,-1.9643078052523237e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7696173554776
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.03958945104803757,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02090851367434552,0.0,3.5793901879136697e-07,0.0,4.236399999678906e-07,383.63548154399996,4976.775,-4.4814695549922733e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.766903311457
