,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,88357.83134502337,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02148221582518565,0.0,3.5755115885034203e-07,0.0,4.71555322584785e-07,383.63548154399996,4976.775,-3.5055042946153076e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10435835087961014,383.7613221107048
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,91362.67604796034,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023645549134804513,0.0,3.7653699699570906e-07,0.0,4.9532384847014e-07,383.63548154399996,4976.775,-5.565795267202043e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10625675030590802,383.7653838434407
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,102620.06991369775,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02137390576085066,0.0,3.768730522797064e-07,0.0,4.765000858039873e-07,383.63548154399996,4976.775,-1.805200840443155e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11336894150681673,383.7702243912676
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98161.31450048013,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023855486416888765,0.0,3.8912386943108496e-07,0.0,4.5636579232593795e-07,383.63548154399996,4976.775,-6.300769909424651e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11055199103008102,383.76988902144694
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,96207.45639798624,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020945546537016815,0.0,3.6487020884919756e-07,0.0,4.5051873831334175e-07,383.63548154399996,4976.775,-1.7927922623822852e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10931758344248874,383.76574467397944
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,101369.13054839839,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01970169369198741,0.0,3.7977854411867195e-07,0.0,4.1823723939002565e-07,383.63548154399996,4976.775,-1.9214905000621357e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11257862360083755,383.7677618612928
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,94791.4226355435,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.026887539641491036,0.0,3.9769605836030194e-07,0.0,5.505546132905317e-07,383.63548154399996,4976.775,-1.1471376135166663e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10842296227301122,383.7707920459145
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,93878.2450589251,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022460499013496525,0.0,3.554178914872779e-07,0.0,4.780114105888747e-07,383.63548154399996,4976.775,-2.1855363518784403e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1078460353569992,383.76578807837046
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,99535.56302022905,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020846247869008006,0.0,3.835796585061483e-07,0.0,4.7183749042201677e-07,383.63548154399996,4976.775,-1.0460126169581373e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11142021313784323,383.7677480050068
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,92868.8546859197,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020636293051896258,0.0,3.846508720697e-07,0.0,4.111424911434841e-07,383.63548154399996,4976.775,-7.077800463001587e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1072083231640359,383.7633261602159
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,102290.9313580265,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02145374236135165,0.0,3.335473506421955e-07,0.0,4.2510685177347675e-07,383.63548154399996,4976.775,-1.8378772489062003e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11316099849909718,383.7700962848604
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,99988.32405274783,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020156533228421866,0.0,3.481126790080826e-07,0.0,4.118132137598177e-07,383.63548154399996,4976.775,-1.346004848719989e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11170625829802862,383.76734433552645
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,104571.3790965506,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02245530076213139,0.0,3.7041373909212934e-07,0.0,5.033626499866707e-07,383.63548154399996,4976.775,-1.9580797990731055e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11460173873911195,383.7725385835012
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,95961.49459317853,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021093891371304362,0.0,3.665134481287629e-07,0.0,4.4495636081272034e-07,383.63548154399996,4976.775,-1.6366138834421507e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10916218980478033,383.7657376251761
