,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,652.6893848925031,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021676835861028882,0.0,4.043567297538143e-07,0.0,4.6000474579873274e-07,383.63548154399996,4976.775,-1.1502484159610354e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76767163364366
1,150,4.741903252197481,4.6,150,29,0.35,621.4685885299311,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019771417597801124,0.0,3.717142330562081e-07,0.0,4.1512211653793106e-07,383.63548154399996,4976.775,-1.14669435598034e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76576621538044
2,150,4.741903252197481,4.6,150,29,0.35,630.1009077297908,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021960623920743483,0.0,3.258701557407152e-07,0.0,4.896207458277062e-07,383.63548154399996,4976.775,-4.581110193030206e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7679554217034
3,150,4.741903252197481,4.6,150,29,0.35,739.620277553593,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022883326726543307,0.0,3.451230651219489e-07,0.0,4.825347245690988e-07,383.63548154399996,4976.775,-1.6167395690826476e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76887812450923
4,150,4.741903252197481,4.6,150,29,0.35,612.2500903377204,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021769371403081595,0.0,4.101009622880653e-07,0.0,4.6614940745228875e-07,383.63548154399996,4976.775,-1.1303539529397842e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76776416918574
5,150,4.741903252197481,4.6,150,29,0.35,617.1834840068977,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021847008072635045,0.0,3.8004327280041444e-07,0.0,4.6558609493460725e-07,383.63548154399996,4976.775,-2.2478767475932963e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7678418058553
6,150,4.741903252197481,4.6,150,29,0.35,652.2598596509761,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022536021794098034,0.0,3.1656871793944423e-07,0.0,4.876682381959434e-07,383.63548154399996,4976.775,-1.4004776472298171e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76853081957677
7,150,4.741903252197481,4.6,150,29,0.35,746.5027785315222,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02042819716875005,0.0,3.649240886660421e-07,0.0,4.424784751580309e-07,383.63548154399996,4976.775,-1.682268412378076e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7664229949514
8,150,4.741903252197481,4.6,150,29,0.35,715.5256519563512,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020537070491676426,0.0,3.655179345449084e-07,0.0,4.693706952139633e-07,383.63548154399996,4976.775,-8.02803498404216e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76653186827434
9,150,4.741903252197481,4.6,150,29,0.35,719.6834832463542,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021683878019680254,0.0,3.907105827718928e-07,0.0,4.5411832034342944e-07,383.63548154399996,4976.775,-2.34708386625755e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76767867580236
10,150,4.741903252197481,4.6,150,29,0.35,658.7309708867713,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0194925337908001,0.0,3.6166481888700806e-07,0.0,4.179868980819522e-07,383.63548154399996,4976.775,-2.6203188528226116e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76548733157347
11,150,4.741903252197481,4.6,150,29,0.35,684.5429638044905,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021460143444948246,0.0,4.027440998277681e-07,0.0,4.303440425166091e-07,383.63548154399996,4976.775,-3.1418628272793307e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7674549412276
12,150,4.741903252197481,4.6,150,29,0.35,687.6123199380547,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019742091676233805,0.0,3.556100223355387e-07,0.0,3.932110552481612e-07,383.63548154399996,4976.775,-1.4922113130664567e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7657368894589
13,150,4.741903252197481,4.6,150,29,0.35,739.745519706114,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021243913252600492,0.0,3.585832807101066e-07,0.0,4.4800404412757385e-07,383.63548154399996,4976.775,-9.582614690088624e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76723871103525
14,150,4.741903252197481,4.6,150,29,0.35,628.0939363878779,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021593134318294002,0.0,3.819290031116888e-07,0.0,4.4867284572865353e-07,383.63548154399996,4976.775,-1.3654830934432807e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7675879321009
15,150,4.741903252197481,4.6,150,29,0.35,628.8170340808621,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02197322790824803,0.0,3.951681515707472e-07,0.0,4.449995954201198e-07,383.63548154399996,4976.775,-4.727224936893378e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7679680256909
16,150,4.741903252197481,4.6,150,29,0.35,703.4620296157457,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021995518820716986,0.0,4.266183624218052e-07,0.0,4.3113102846504247e-07,383.63548154399996,4976.775,-1.0515172894604398e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7679903166034
17,150,4.741903252197481,4.6,150,29,0.35,705.6786063909087,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022823270456156976,0.0,4.04127709788544e-07,0.0,4.565584007440506e-07,383.63548154399996,4976.775,-2.3819069930635743e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76881806823883
18,150,4.741903252197481,4.6,150,29,0.35,733.1201073328466,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021011014009931186,0.0,3.9960713037583575e-07,0.0,4.5045840354868926e-07,383.63548154399996,4976.775,-1.1696775432021e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7670058117926
19,150,4.741903252197481,4.6,150,29,0.35,624.3653688921722,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021505771236601336,0.0,4.098460552077234e-07,0.0,4.296441031741475e-07,383.63548154399996,4976.775,-3.5663871185821895e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76750056901926
20,150,4.741903252197481,4.6,150,29,0.35,724.8160285466919,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022216225764523423,0.0,3.6879406054347663e-07,0.0,4.7015417097500766e-07,383.63548154399996,4976.775,-2.2596738542865e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76821102354717
21,150,4.741903252197481,4.6,150,29,0.35,653.6842993394423,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024531568037602813,0.0,3.9174474422575026e-07,0.0,4.963780502892729e-07,383.63548154399996,4976.775,-1.215022884640807e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7705263658203
22,150,4.741903252197481,4.6,150,29,0.35,702.2569554243655,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019663092451967703,0.0,3.8617200043914103e-07,0.0,4.4835369161468446e-07,383.63548154399996,4976.775,-4.3749238991006185e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76565789023465
23,150,4.741903252197481,4.6,150,29,0.35,687.4803301606063,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020793321079910568,0.0,4.195768221140623e-07,0.0,4.345118782901833e-07,383.63548154399996,4976.775,-1.7110435565343322e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76678811886256
