,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8124428728200299,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02373837361619084,0.0,3.5442972430512364e-07,0.0,4.7284609497548594e-07,383.63548154399996,4976.775,-1.1844733775608305e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76973317139885
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8013464344383259,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022097014599906987,0.0,3.470991210602494e-07,0.0,4.65158729196411e-07,383.63548154399996,4976.775,-2.1260181114195191e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7680918123826
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8403083894993386,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02125081554802441,0.0,3.5880885883001225e-07,0.0,4.2431874601231515e-07,383.63548154399996,4976.775,-9.497778293735908e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76724561333066
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.7502478044179279,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021372979706817216,0.0,3.5149202186205773e-07,0.0,4.6752344048973156e-07,383.63548154399996,4976.775,-2.4482163776395194e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7673677774895
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8073167651597017,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021750527920577876,0.0,3.620800118533389e-07,0.0,4.46403495031785e-07,383.63548154399996,4976.775,-3.8828894200023853e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76774532570323
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8008114801794491,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020135456428760815,0.0,3.7260020273830847e-07,0.0,4.207989070907662e-07,383.63548154399996,4976.775,-2.1120095249975163e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7661302542114
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8152573520390167,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018159456545760132,0.0,4.1735639527905656e-07,0.0,3.615668394025555e-07,383.63548154399996,4976.775,-2.2676113849847613e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76415425432845
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8758486025804482,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01992895306253999,0.0,3.5797798387386803e-07,0.0,4.592562707328555e-07,383.63548154399996,4976.775,-3.391634727000624e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7659237508452
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8538568112309721,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018904538410403498,0.0,3.9335633480930537e-07,0.0,3.81847413888047e-07,383.63548154399996,4976.775,-1.5062135372570042e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7648993361931
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.7406830393434116,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0225309125503807,0.0,3.983854567540792e-07,0.0,5.030279716017148e-07,383.63548154399996,4976.775,-4.0105809261097723e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76852571033305
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.7560594502753593,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021444895906195208,0.0,3.823443395765657e-07,0.0,4.765637032783356e-07,383.63548154399996,4976.775,-1.6764578695076865e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76743969368886
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8463661698906134,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024701781879957557,0.0,3.721230607330461e-07,0.0,4.598221057382084e-07,383.63548154399996,4976.775,-1.6451610866407142e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7706965796626
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8454279801061232,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019500483610068904,0.0,3.7160569375354166e-07,0.0,4.2204202853641796e-07,383.63548154399996,4976.775,-2.185680816979309e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7654952813927
