,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024199431272408176,0.0,3.46918717597666e-07,0.0,4.870507615540816e-07,383.63548154399996,4976.775,-9.983129451765223e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.77019422905505
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020181285939522016,0.0,3.3547747839543087e-07,0.0,4.2412037756167507e-07,383.63548154399996,4976.775,-1.5255916656564463e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7661760837222
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021630055978464503,0.0,3.8941704183402164e-07,0.0,4.485673331421598e-07,383.63548154399996,4976.775,-2.252654805299255e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7676248537611
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01897408832228805,0.0,3.6939253840380035e-07,0.0,3.9852332539988096e-07,383.63548154399996,4976.775,-1.5926833790692522e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76496888610495
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020744530088792554,0.0,3.811926950147318e-07,0.0,3.9701318628744343e-07,383.63548154399996,4976.775,-7.262701424645794e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76673932787145
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02328625197064268,0.0,3.5021628676917685e-07,0.0,4.785708959372085e-07,383.63548154399996,4976.775,-8.946212332087637e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7692810497533
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02270439670050192,0.0,3.6434126814576266e-07,0.0,4.713246543756487e-07,383.63548154399996,4976.775,-8.425814207349936e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76869919448313
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02189155306330276,0.0,4.114413455265771e-07,0.0,4.3878553501828133e-07,383.63548154399996,4976.775,-1.16628755094245e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76788635084597
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023406032374635295,0.0,3.986290080389017e-07,0.0,4.7062484304111573e-07,383.63548154399996,4976.775,-9.760561946752676e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7694008301573
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0.0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.025246538213248633,0.0,3.584508206006809e-07,0.0,4.907062187166291e-07,383.63548154399996,4976.775,-1.8092886597051828e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7712413359959
