,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7.530789534041601,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024028465872420877,0.0,3.8282504610897886e-07,0.0,5.09969755912349e-07,383.63548154399996,4976.775,-2.304484291286903e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4261509430739824e-131,0.11050831172546509,383.7700183215979
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7.336736049565145,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020982112646582084,0.0,3.269330416539817e-07,0.0,4.821841643662712e-07,383.63548154399996,4976.775,-1.2232074428260052e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.433235504387181e-131,0.11051011849506753,383.76697377514165
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7.566243594678782,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021534024573039733,0.0,3.7341806968702837e-07,0.0,4.44288863019658e-07,383.63548154399996,4976.775,-2.2686312886835e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4248603645161516e-131,0.11050798162622535,383.7675235501992
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,6.891930877486333,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023343097539095855,0.0,3.45586913708818e-07,0.0,4.6697203653603816e-07,383.63548154399996,4976.775,-1.3809184715198942e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.449607654827228e-131,0.11051426000704107,383.7693389015461
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,6.314748227389059,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02216293251014677,0.0,3.9228300013898555e-07,0.0,4.054015566409684e-07,383.63548154399996,4976.775,-2.532063305932611e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4711313937265261e-131,0.11051963421885098,383.76816411072895
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7.672947128852407,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020191553076897788,0.0,3.995742899871729e-07,0.0,4.209396968792705e-07,383.63548154399996,4976.775,-2.8001866533459053e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4209832456342225e-131,0.11050698815425704,383.7661800852311
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7.0713804090843215,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01909559330922085,0.0,3.6394962982449536e-07,0.0,4.184252909799084e-07,383.63548154399996,4976.775,-8.149481374912222e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.442980186247241e-131,0.11051258916787772,383.765089726477
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,6.5339722056661085,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02133099790515236,0.0,3.6724480741109343e-07,0.0,4.525035136296173e-07,383.63548154399996,4976.775,-2.2462458400252204e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4629189193153273e-131,0.11051759297957901,383.7673301348847
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7.382416452074336,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02290948740605116,0.0,4.2313530323774735e-07,0.0,4.7513296511089604e-07,383.63548154399996,4976.775,-2.421672549196619e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4315646301869183e-131,0.11050969317776113,383.7689007245838
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,6.533087314998281,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019847899533338365,0.0,3.65664923866005e-07,0.0,4.170515661461169e-07,383.63548154399996,4976.775,-1.610001918460178e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4629519763829162e-131,0.11051760121892654,383.7658470447522
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,6.942126035583396,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0214107409483921,0.0,4.1075054081426055e-07,0.0,4.323125941918949e-07,383.63548154399996,4976.775,-2.819146243470282e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4477507760870307e-131,0.1105137926425486,383.7674060775909
