,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.01972557551648504,0.0,3.560611481580179e-07,0.0,4.1843334737300794e-07,383.63548154399996,4976.775,-8.83329183591651e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76572037329913
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.020566964917255653,0.0,3.4522761177280236e-07,0.0,4.0815234982567846e-07,383.63548154399996,4976.775,-3.4120997190925936e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7665617626999
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.022248555311963222,0.0,3.690746890527929e-07,0.0,4.474666203442585e-07,383.63548154399996,4976.775,-2.1815062162292255e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76824335309465
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.021598609794347814,0.0,4.0354324826292104e-07,0.0,4.5638700104797933e-07,383.63548154399996,4976.775,-1.1821852056623232e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.767593407577
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.01778268620322773,0.0,3.7913166302634413e-07,0.0,3.830906904022107e-07,383.63548154399996,4976.775,-1.3195364802653334e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7637774839859
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.024345047061011996,0.0,4.115159262288158e-07,0.0,4.801541487845996e-07,383.63548154399996,4976.775,-4.313854168092945e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.77033984484365
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.022499039234626247,0.0,3.580758770215878e-07,0.0,4.566997385878477e-07,383.63548154399996,4976.775,-7.223909925188269e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7684938370173
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.022350034127834862,0.0,3.5117640377364953e-07,0.0,4.6567996438872507e-07,383.63548154399996,4976.775,-2.244304038336378e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7683448319105
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.022349303556367935,0.0,4.0820160022908445e-07,0.0,4.716617351544698e-07,383.63548154399996,4976.775,-1.8934259528622316e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76834410133904
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.02467961096094609,0.0,4.317931629519853e-07,0.0,4.795363167111132e-07,383.63548154399996,4976.775,-2.950214225022589e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7706744087436
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.02242999784336616,0.0,3.646259094817165e-07,0.0,4.6736236640428833e-07,383.63548154399996,4976.775,-1.6765003814270905e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.768424795626
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.023458235004811843,0.0,4.0335834788197657e-07,0.0,5.02815204033831e-07,383.63548154399996,4976.775,-2.938939046593151e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76945303278745
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.02248810352560323,0.0,3.9132845737413727e-07,0.0,4.681486691753315e-07,383.63548154399996,4976.775,-7.989328654238199e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76848290130823
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.02188190561223784,0.0,4.167377751040652e-07,0.0,4.3953390856302254e-07,383.63548154399996,4976.775,-4.759534101689676e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7678767033949
14,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0.0,0,0.012,0,0.006,0,0,0.022614675852561578,0.0,4.33166385204225e-07,0.0,4.3937212775496865e-07,383.63548154399996,4976.775,-2.2830465775066607e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7686094736352
