,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.035784959716916684,0,0,0.012,0,0.006,0,0,0.020659346660826607,0.0,3.581335904592884e-07,0.0,4.199901571660891e-07,383.63548154399996,4976.775,-2.5120788495321504e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76665414444346
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.030616402206801323,0,0,0.012,0,0.006,0,0,0.021280847933501983,0.0,3.46779799648756e-07,0.0,4.694013137355725e-07,383.63548154399996,4976.775,-1.0128334808573977e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76727564571615
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.03332418359370791,0,0,0.012,0,0.006,0,0,0.020322171676143627,0.0,3.8741641528444656e-07,0.0,4.310233351558756e-07,383.63548154399996,4976.775,-1.133766017032967e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7663169694588
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.03554133357962884,0,0,0.012,0,0.006,0,0,0.023414423795476494,0.0,3.8616490068268976e-07,0.0,5.080453647575089e-07,383.63548154399996,4976.775,-2.470908930101577e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76940922157814
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.0343825879322644,0,0,0.012,0,0.006,0,0,0.021788237071976354,0.0,3.8011413471177057e-07,0.0,4.5905778399440645e-07,383.63548154399996,4976.775,-1.469831292971859e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76778303485463
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.03131045988008008,0,0,0.012,0,0.006,0,0,0.021047482557249888,0.0,3.487664510761641e-07,0.0,4.317698060956532e-07,383.63548154399996,4976.775,-2.659928434056124e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7670422803399
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.034755722152134606,0,0,0.012,0,0.006,0,0,0.022422116189969664,0.0,3.446420747958194e-07,0.0,5.102164274263764e-07,383.63548154399996,4976.775,-3.589543264754145e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7684169139726
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.03349379456329858,0,0,0.012,0,0.006,0,0,0.021108667877755054,0.0,3.977652952226829e-07,0.0,4.695542330292957e-07,383.63548154399996,4976.775,-6.318546782510804e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7671034656604
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.03578192180773704,0,0,0.012,0,0.006,0,0,0.021523024918280054,0.0,3.4548722673806724e-07,0.0,4.31622254430337e-07,383.63548154399996,4976.775,-5.0670103717313404e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76751782270094
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.032072557997736825,0,0,0.012,0,0.006,0,0,0.019975207126154262,0.0,3.781775853310605e-07,0.0,4.2786714105816277e-07,383.63548154399996,4976.775,-1.9668861609266135e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7659700049088
