,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,52511.24169605505,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02235340642328979,0.0,3.6699283220851885e-07,0.0,4.2095651345771467e-07,383.63548154399996,4976.775,-1.3434953335349236e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11315566261544292,383.7709906130387
1,150,4.741903252197481,4.6,150,29,0.35,680,49413.40796621343,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01939597068820013,0.0,3.6219520432371886e-07,0.0,4.2089917357677537e-07,383.63548154399996,4976.775,-4.996409066729401e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11013647652740549,383.7650139912156
2,150,4.741903252197481,4.6,150,29,0.35,680,52279.212941709906,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020858230397775002,0.0,3.6704736235745606e-07,0.0,4.922234992998724e-07,383.63548154399996,4976.775,-1.4921615067407482e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11292952459505946,383.7692692989928
3,150,4.741903252197481,4.6,150,29,0.35,680,53326.40196348336,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02015471615462946,0.0,3.3899760302231825e-07,0.0,4.4562614754582025e-07,383.63548154399996,4976.775,-1.6800349299831409e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11395012763634844,383.769586387791
4,150,4.741903252197481,4.6,150,29,0.35,680,47777.13560979083,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02258088279673361,0.0,3.542521963871266e-07,0.0,4.640098167555578e-07,383.63548154399996,4976.775,-2.1248884860904714e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10854174576856518,383.7666041725652
5,150,4.741903252197481,4.6,150,29,0.35,680,51574.36784932282,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022066772574791227,0.0,3.9811668380264567e-07,0.0,4.511145784898833e-07,383.63548154399996,4976.775,-3.320676923832761e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.112242574073262,383.76979089064804
6,150,4.741903252197481,4.6,150,29,0.35,680,54210.962914081225,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02217518588089837,0.0,3.589876660587701e-07,0.0,4.5129606580720555e-07,383.63548154399996,4976.775,-8.910598690034093e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1148122313994845,383.7724689612803
7,150,4.741903252197481,4.6,150,29,0.35,680,47921.28220776336,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021760409998260306,0.0,3.9926132053192813e-07,0.0,4.5527043347375443e-07,383.63548154399996,4976.775,-1.2738116370201457e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10868223278019669,383.7659241867784
8,150,4.741903252197481,4.6,150,29,0.35,680,48472.27292278275,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024826430354656925,0.0,3.8858432215142155e-07,0.0,5.005678206534908e-07,383.63548154399996,4976.775,-1.270804447567381e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10921923497156649,383.7695272093262
9,150,4.741903252197481,4.6,150,29,0.35,680,52594.91390190066,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022108915117694677,0.0,3.5214369483458324e-07,0.0,4.3667125653378593e-07,383.63548154399996,4976.775,-3.853038333931747e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11323721055567322,383.77082766967334
