,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.08910335929629569,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020385665920929514,0.0,3.8963371429625533e-07,0.0,4.410507899412734e-07,383.63548154399996,4976.775,-2.7023139256192935e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.370308036836822e-131,0.1105132537827213,383.76638046370357
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.09079175683560962,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022290931400709355,0.0,4.023137183062721e-07,0.0,4.4428237551187285e-07,383.63548154399996,4976.775,-1.916400741879e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3962736652460035e-131,0.1105132537827213,383.7682857291834
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.0897841031169547,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02216521906233081,0.0,3.9458976771475625e-07,0.0,4.5395741699712895e-07,383.63548154399996,4976.775,-8.579325490958707e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3807771003585925e-131,0.1105132537827213,383.768160016845
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.0854967770124214,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0204309312986962,0.0,3.715504079352765e-07,0.0,4.2254920748030894e-07,383.63548154399996,4976.775,-1.1808106375603553e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314842914891507e-131,0.1105132537827213,383.76642572908133
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.09340727900403305,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02359992388842471,0.0,3.697467757981462e-07,0.0,4.832976887332149e-07,383.63548154399996,4976.775,-1.0371102961571739e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4364974129949226e-131,0.1105132537827213,383.76959472167107
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.10007871459314217,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02309793056723611,0.0,4.288284060673375e-07,0.0,4.941686981228977e-07,383.63548154399996,4976.775,-1.7048647975598092e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5390964830770702e-131,0.1105132537827213,383.7690927283499
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.08883878441288584,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022365988091895796,0.0,3.713594367552915e-07,0.0,4.4924573427525565e-07,383.63548154399996,4976.775,-1.8884880559001317e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3662391768977025e-131,0.1105132537827213,383.76836078587456
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.09519568010528376,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021547773687722507,0.0,4.2508144048572424e-07,0.0,4.573123199909408e-07,383.63548154399996,4976.775,-3.1113621507603513e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4640009821250434e-131,0.1105132537827213,383.76754257147036
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.08909657887987678,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019908934057761757,0.0,3.840108472186581e-07,0.0,4.2441433000977075e-07,383.63548154399996,4976.775,-2.204583085887377e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3702037617658784e-131,0.1105132537827213,383.7659037318404
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.08834472222617672,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02037450121264757,0.0,3.708926989526261e-07,0.0,4.5593596744104897e-07,383.63548154399996,4976.775,-2.7217883117241174e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358641063981517e-131,0.1105132537827213,383.7663692989953
