,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,5.133184246842801,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024103725159834243,0.0,3.7863332661462817e-07,0.0,4.6221753972188916e-07,383.63548154399996,4976.775,-3.0874558921737994e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7700985229425
1,150,5.075432671396022,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02396714272113159,0.0,4.195520158914389e-07,0.0,4.960223233939651e-07,383.63548154399996,4976.775,-1.0373476952062997e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7699619405038
2,150,4.937954780110445,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02294223573188088,0.0,4.0445329306189247e-07,0.0,4.803270717424935e-07,383.63548154399996,4976.775,-2.1485064898030787e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76893703351453
3,150,4.573185586236915,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02321803472094254,0.0,3.301009736900174e-07,0.0,4.848857398091597e-07,383.63548154399996,4976.775,-1.2097803480636704e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7692128325036
4,150,4.546934542142438,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01981496299861507,0.0,3.8074014378291996e-07,0.0,4.302790359046707e-07,383.63548154399996,4976.775,-2.417704752708253e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7658097607813
5,150,4.450288654828827,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02028458998008231,0.0,3.6601032944225513e-07,0.0,4.428267546320919e-07,383.63548154399996,4976.775,-1.3582063354580708e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7662793877627
6,150,4.401811440344282,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02192384414457578,0.0,3.6065844041552245e-07,0.0,4.708530166825119e-07,383.63548154399996,4976.775,-1.8877778874836274e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7679186419272
7,150,4.322114496666155,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02312362002520611,0.0,3.1093547067927276e-07,0.0,4.854980248583372e-07,383.63548154399996,4976.775,-9.041078039502704e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7691184178079
8,150,4.963626890611085,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020905002369027564,0.0,3.737776266411214e-07,0.0,4.878267778427496e-07,383.63548154399996,4976.775,-5.544815619832748e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7668998001517
9,150,4.420318202636097,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020038028649751682,0.0,4.111852445292303e-07,0.0,4.409252477341842e-07,383.63548154399996,4976.775,-2.637639602159707e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7660328264324
10,150,4.944391270193401,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02218772773436366,0.0,3.808711986323532e-07,0.0,4.5058666676955626e-07,383.63548154399996,4976.775,-2.342921550327392e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76818252551703
11,150,5.1989875759691575,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018633200845547267,0.0,3.561641720877008e-07,0.0,4.072595873129158e-07,383.63548154399996,4976.775,-1.43765135163248e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7646279986282
12,150,4.562824196858306,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021915779838235224,0.0,3.974540508984532e-07,0.0,4.20482424502632e-07,383.63548154399996,4976.775,-1.4283894963494279e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7679105776209
13,150,4.885002676690053,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01809158549434382,0.0,3.6567094635386565e-07,0.0,4.1864367930216487e-07,383.63548154399996,4976.775,-1.9413146879337213e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.764086383277
14,150,4.969351330079565,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01935878309646354,0.0,3.530986903320897e-07,0.0,3.930410422861399e-07,383.63548154399996,4976.775,-3.323407842773125e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7653535808791
15,150,5.119373289435208,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02135286976960855,0.0,4.066099681896329e-07,0.0,4.0720200401262673e-07,383.63548154399996,4976.775,-2.253622973009024e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76734766755226
16,150,4.633595739890569,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023590005486470084,0.0,3.886521291226382e-07,0.0,4.784789935429763e-07,383.63548154399996,4976.775,-1.5193368530932996e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76958480326914
17,150,4.905717351967156,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022986577926024224,0.0,4.2504279882412053e-07,0.0,4.5796118586674586e-07,383.63548154399996,4976.775,-6.978651573621181e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7689813757087
18,150,4.330326965831643,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021765468011873436,0.0,4.127816020008539e-07,0.0,4.567996883923321e-07,383.63548154399996,4976.775,-8.762556667972255e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76776026579455
