,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3310155315430744,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019985498694688207,0.0,3.6281461683558156e-07,0.0,4.0687215482303536e-07,383.63548154399996,4976.775,-1.8939945750677621e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7659802964773
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3472762173287133,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021254461904394367,0.0,3.125061826032966e-07,0.0,4.473321387728932e-07,383.63548154399996,4976.775,-1.8100844235241208e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76724925968705
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3696587503602723,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02027216280860709,0.0,3.507548944733363e-07,0.0,4.4111836936038386e-07,383.63548154399996,4976.775,-2.305554765842537e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7662669605913
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3255715311996519,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024808317816083652,0.0,3.8589263620869526e-07,0.0,5.095824614816369e-07,383.63548154399996,4976.775,-3.8552642581401936e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.77080311559877
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3944262276916241,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02420977687350425,0.0,4.300908008328156e-07,0.0,4.825335680701794e-07,383.63548154399996,4976.775,-2.243274883061448e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.77020457465613
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3882505826572311,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021963352965582356,0.0,3.487085572142481e-07,0.0,4.475383287139947e-07,383.63548154399996,4976.775,-9.737914261281134e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76795815074826
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.35284427105239213,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022224037161307348,0.0,4.0167762548998214e-07,0.0,4.578828174181017e-07,383.63548154399996,4976.775,-2.249831256950536e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.768218834944
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3359642448751759,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022152300286019767,0.0,3.738867709141311e-07,0.0,4.349155908988879e-07,383.63548154399996,4976.775,-1.8154364123242064e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76814709806865
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3478926949575305,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018149923307077615,0.0,3.7734253127969487e-07,0.0,3.965512607308118e-07,383.63548154399996,4976.775,-1.0549249385681632e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76414472108974
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3733078094418227,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02124002492142798,0.0,4.1214712823232685e-07,0.0,4.2084734155581667e-07,383.63548154399996,4976.775,-2.1014069361373084e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7672348227041
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.348387706709587,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023313842917125363,0.0,3.466023575643505e-07,0.0,4.951061055511268e-07,383.63548154399996,4976.775,-1.1109086605166559e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76930864069976
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3595828429240743,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019130200064907326,0.0,3.668620831269337e-07,0.0,4.10955033273498e-07,383.63548154399996,4976.775,-2.2266159758095776e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7651249978476
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.32884651428601563,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019319151022412058,0.0,2.95627198261926e-07,0.0,4.237231514707735e-07,383.63548154399996,4976.775,-1.0999891373122058e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76531394880504
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.34059099126619324,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021275767868839033,0.0,3.7007131525139984e-07,0.0,4.275320018921321e-07,383.63548154399996,4976.775,-9.891438268483442e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7672705656515
14,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.3579338208627615,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022693832433576987,0.0,4.287706016486363e-07,0.0,4.5950998331070223e-07,383.63548154399996,4976.775,-6.859446648806589e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7686886302162
