,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150.2717752234746,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02271286989807409,0.0,3.795586788211702e-07,0.0,5.047606105174535e-07,384.5604616079999,4982.53,-2.989443637014277e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11068464264072629,384.6938591205387
1,150,4.741903252197481,4.6,148.97826683787306,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023065056395857837,0.0,3.4934345595089096e-07,0.0,4.700179987075379e-07,380.62929633600004,4955.136,-3.1366432585118847e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10976048674109228,380.762121879137
2,150,4.741903252197481,4.6,153.43479476605273,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02390172003282919,0.0,4.172491424408464e-07,0.0,5.202352242366997e-07,394.157129772,5049.518,-2.219544985877397e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1129407810588579,394.2939722730917
3,150,4.741903252197481,4.6,140.24697612416145,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02053589997874455,0.0,3.538027885571516e-07,0.0,4.380643740927706e-07,354.036119496,4770.22,-2.2826411227309213e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10354301451981801,354.1601984104986
4,150,4.741903252197481,4.6,154.9826130611582,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02553512682297678,0.0,3.776769026322562e-07,0.0,5.183895277711128e-07,398.78203009199996,5082.299,-5.40666432086015e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11406523061962766,398.9216304494426
5,150,4.741903252197481,4.6,135.37361255869632,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.017847522501102147,0.0,3.4323256882455373e-07,0.0,3.7322079249559884e-07,339.35206098,4667.01,-1.1434495722119285e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10002300647215395,339.4699315089732
6,150,4.741903252197481,4.6,141.7471312649449,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01980589701051469,0.0,3.602988874282703e-07,0.0,3.991286065694547e-07,358.6610198159999,4801.991,-6.865626947274898e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10459615145926174,358.7854218644697
7,150,4.741903252197481,4.6,152.7275727175664,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02070755880344487,0.0,3.522887468430913e-07,0.0,4.6524931373543907e-07,391.96030211999994,5034.54,-1.6572425139730078e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1124495210262194,392.0934591998296
8,150,4.741903252197481,4.6,144.40642227701684,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020601281993269622,0.0,3.6512736622115026e-07,0.0,4.4817444224094444e-07,366.75459537599994,4858.311,-3.214588652755469e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10648916719922237,366.88168582519245
9,150,4.741903252197481,4.6,155.86910150928446,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023359294850452173,0.0,3.7897072090195036e-07,0.0,4.863616809199448e-07,401.55697028399993,5101.073,-1.771603031721125e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11468775758966002,401.69501733644006
10,150,4.741903252197481,4.6,155.458187922786,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023051438587316907,0.0,3.6960001715193085e-07,0.0,4.6690220945994265e-07,400.2851226959999,5092.371,-1.5992813760364296e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11440032847741254,400.4225744630647
11,150,4.741903252197481,4.6,155.70353288309406,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02330205823769679,0.0,3.862552880947174e-07,0.0,4.448408164739052e-07,400.978857744,5097.567,-2.46973283417285e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11458087569994581,401.1167406779376
12,150,4.741903252197481,4.6,141.05990610812782,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019826138643759685,0.0,3.459740470985965e-07,0.0,3.832388746638231e-07,356.57981467199994,4787.437,-2.31496063369998e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10410258083942836,356.7037433914831
13,150,4.741903252197481,4.6,152.12345851722637,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022317414880873878,0.0,3.6360890898237205e-07,0.0,4.372486542903058e-07,390.110341992,5021.746,-1.2510667516828796e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11201932589113799,390.244678732772
14,150,4.741903252197481,4.6,163.58045811780656,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021489665472745872,0.0,4.124679694364526e-07,0.0,4.5186650782769954e-07,424.91271689999996,5264.388,-3.6235121635522004e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.12020475105471357,425.0544113165274
15,150,4.741903252197481,4.6,147.53900483376404,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018194690180539104,0.0,3.6914529496827234e-07,0.0,3.521715578479612e-07,376.235641032,4924.654,-1.0225198991736001e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10872842160737546,376.36256414378795
16,150,4.741903252197481,4.6,158.2567654925744,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019669540343908623,0.0,3.18681467623819e-07,0.0,4.6033266927266847e-07,408.72556577999995,5151.64,-2.4510135987969346e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11641421407869733,408.86164953442255
17,150,4.741903252197481,4.6,149.67239768166937,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021899296765230798,0.0,4.1156150038871893e-07,0.0,4.568669438962152e-07,382.71050148,4969.836,-1.5930353722824338e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11025752719835058,382.8426583039636
18,150,4.741903252197481,4.6,152.36472642201113,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02209610019863573,0.0,3.6912763017084935e-07,0.0,4.864843149462227e-07,390.91969954800004,5026.856000000001,-2.8850935705580284e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11218236630480716,391.05397801450346
19,150,4.741903252197481,4.6,138.81778801401276,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02284938101125561,0.0,3.390613931850534e-07,0.0,4.3709197319610064e-07,349.7580867,4739.951999999999,-1.3220193987063374e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10250118069321014,349.88343726170444
20,150,4.741903252197481,4.6,140.4076856270519,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021278477673771695,0.0,3.5700579517200215e-07,0.0,4.518174018148697e-07,354.61423203600003,4773.624,-1.0905853672071025e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10363471521670678,354.7391452288905
21,150,4.741903252197481,4.6,149.0712880704184,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020521561382850488,0.0,3.5619879349169473e-07,0.0,4.4289603062526286e-07,380.860541352,4957.106000000001,-1.8607540332570185e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.109843326843722,380.99090624022654
22,150,4.741903252197481,4.6,163.65582351357733,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02401057663936734,0.0,4.0488230644355787e-07,0.0,4.976701204088321e-07,425.143961916,5265.984,-5.504176036685357e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.12026013223374317,425.2882326248731
23,150,4.741903252197481,4.6,156.85898462269228,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020466769145627697,0.0,3.650668129062648e-07,0.0,4.2446061736740154e-07,404.563155492,5122.038,-1.783622271646998e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11538600172445707,404.6990082628701
24,150,4.741903252197481,4.6,151.6444034092181,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023774040155255388,0.0,3.526746638146029e-07,0.0,4.869483994282275e-07,388.72287189599996,5011.599999999999,-2.654950449671767e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11166656353096781,388.8583124996862
25,150,4.741903252197481,4.6,161.455055924119,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023740432149497757,0.0,4.096190960841482e-07,0.0,5.132162630502288e-07,418.43785645199995,5219.375,-2.1635614321343556e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11868941387262166,418.5802862980221
26,150,4.741903252197481,4.6,157.59756320287732,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023173804288376686,0.0,3.788160497370004e-07,0.0,4.642324169364279e-07,406.75998314399993,5137.679,-2.07103224016117e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11592930263598517,406.8990862509243
27,150,4.741903252197481,4.6,155.41351272438084,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023878178413777835,0.0,4.136817163523783e-07,0.0,5.12920335278755e-07,400.16950018800003,5091.425,-9.982915620119399e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11435253748755093,400.30773090390136
28,150,4.741903252197481,4.6,162.732529987671,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023626282558284584,0.0,3.609743936373368e-07,0.0,4.9687376711941e-07,422.36902172400005,5246.43,-7.20166969801116e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11959728054196958,422.5122452871003
29,150,4.741903252197481,4.6,143.69711694471883,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021486586090088865,0.0,3.5364990905282593e-07,0.0,4.4135347244013146e-07,364.55776772400003,4843.289000000001,-3.280261913929806e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.10599368740644438,364.68524799749656
