,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.0065035213663442,0,0,0.023354086336860886,0.0,3.76454692726548e-07,0.0,5.077601533878353e-07,383.63548154399996,4976.775,-2.529121107229206e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7693488841195
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006463468857592455,0,0,0.020559556282261617,0.0,3.7113287646398397e-07,0.0,4.3178391613299014e-07,383.63548154399996,4976.775,-3.828962908850884e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7665543540649
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.00576016085600222,0,0,0.019578156187503908,0.0,3.361515389649715e-07,0.0,4.39560485020305e-07,383.63548154399996,4976.775,-2.2830875042951835e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76557295397015
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005836048698863687,0,0,0.020868556645983777,0.0,4.4616965688354547e-07,0.0,4.2327527457451865e-07,383.63548154399996,4976.775,-2.500954642399277e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76686335442866
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006578863571670631,0,0,0.02354960282843304,0.0,3.6316524639753316e-07,0.0,4.973746496006505e-07,383.63548154399996,4976.775,-1.7540481791169832e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7695444006111
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005690302417320443,0,0,0.019495118626240194,0.0,3.6816739430507444e-07,0.0,3.921778717731034e-07,383.63548154399996,4976.775,-6.518548124615268e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7654899164089
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.0062381027857486195,0,0,0.021602908055647737,0.0,4.025398543537088e-07,0.0,4.528732943183016e-07,383.63548154399996,4976.775,-1.6926794868225293e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7675977058383
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006001822022184949,0,0,0.02446115148281825,0.0,3.669338458605849e-07,0.0,5.18593359531312e-07,383.63548154399996,4976.775,-9.54125800739489e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.77045594926545
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.00608048611654158,0,0,0.023408920521554626,0.0,3.9108893047324946e-07,0.0,4.6784084874190424e-07,383.63548154399996,4976.775,-1.69999779588795e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7694037183042
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006167557997441535,0,0,0.021493520020626603,0.0,3.4425824269474893e-07,0.0,4.628765660321476e-07,383.63548154399996,4976.775,-2.3996206684514334e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76748831780327
