,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.01179408573861242,0,0.006,0,0,0.018398529389327317,0.0,4.1084383186609073e-07,0.0,3.961109935863302e-07,383.63548154399996,4976.775,-9.820062790381849e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.764393327172
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.010949156841169391,0,0.006,0,0,0.020328020144725994,0.0,4.048677949953617e-07,0.0,4.0225603215987954e-07,383.63548154399996,4976.775,-3.167270428807512e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7663228179274
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012111871915374859,0,0.006,0,0,0.023439029216487644,0.0,4.2918689980188945e-07,0.0,5.077475482243787e-07,383.63548154399996,4976.775,-1.654221505058281e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76943382699915
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.010956695807007125,0,0.006,0,0,0.02138368889884762,0.0,3.7428336584567586e-07,0.0,4.5315992706965095e-07,383.63548154399996,4976.775,-2.9693887367122823e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7673784866815
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012599460743362047,0,0.006,0,0,0.022014780646621726,0.0,3.9565587915000754e-07,0.0,4.320910239588376e-07,383.63548154399996,4976.775,-3.8357893054361328e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76800957842926
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012201690344923584,0,0.006,0,0,0.01920125096378217,0.0,3.7468708257060833e-07,0.0,3.906311611736236e-07,383.63548154399996,4976.775,-2.784088015536888e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7651960487464
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012398599295338411,0,0.006,0,0,0.0215235439215796,0.0,4.3646229019318426e-07,0.0,4.6296463858788814e-07,383.63548154399996,4976.775,-1.0518175408629288e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76751834170426
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012402636476882193,0,0.006,0,0,0.02005286781196823,0.0,3.778642434953308e-07,0.0,4.5490333181410485e-07,383.63548154399996,4976.775,-2.0449946432869432e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7660476655946
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011129316886679591,0,0.006,0,0,0.021718721960541483,0.0,3.9772573898307226e-07,0.0,4.5048955693968245e-07,383.63548154399996,4976.775,-2.6500556510327753e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7677135197432
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.011784082538731895,0,0.006,0,0,0.02227891121446177,0.0,3.5659966115372435e-07,0.0,4.6488383379258027e-07,383.63548154399996,4976.775,-9.662154765599763e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7682737089971
