,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,138.89260938054258,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0214896833380704,0.0,3.711084313263055e-07,0.0,4.539399015141917e-07,302.5770113838841,5008.62,-3.1388149184453395e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11065720748049744,302.70915827470265
1,143.14123865437236,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02145617564358211,0.0,3.724531287384571e-07,0.0,4.7237568087457083e-07,333.777479735396,4997.737,-3.083776017051067e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11047006767338849,333.909405978713
2,147.5870237858513,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020177395653702593,0.0,4.043920873955305e-07,0.0,4.3000415929474e-07,365.85858065839165,4984.287,-1.96506367498132e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1104844630431661,365.98924251708854
3,153.60427510868584,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02134474016381426,0.0,4.111081893410047e-07,0.0,4.4230482130371314e-07,409.9155388239118,4963.3279999999995,-2.3850156402657987e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1104844630431661,410.0473680271188
4,145.66947055670997,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022266970651932085,0.0,3.6058451935152624e-07,0.0,4.420155077176209e-07,352.01149179974396,4991.012000000001,-4.3783126620995636e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1104844630431661,352.14424323343906
5,136.09242543212918,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018702525287367582,0.0,3.6643670121179724e-07,0.0,3.841758015989506e-07,282.7576721608018,5018.71,-2.476343843293784e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11074357969916311,282.88711826578833
6,139.36305886072913,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022222229360755734,0.0,3.347410318627703e-07,0.0,4.7198707241546066e-07,306.15233339650086,5008.62,-9.543053770150967e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11061402137116458,306.2851696472328
7,163.62841263858795,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023917272070939532,0.0,3.891121422760634e-07,0.0,4.812775898871561e-07,484.29064363466534,4931.5199999999995,-1.658742059031588e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,484.425074160519
8,161.5295484417219,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02333867865762378,0.0,3.645469730980757e-07,0.0,4.3766820952707985e-07,469.09828907573296,4939.018,-1.187628606110718e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11042688156405565,469.2320546359547
9,158.49075910020116,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018567679429869723,0.0,3.930531080745879e-07,0.0,4.188386742561152e-07,446.7056524337063,4949.099999999999,-2.5024308838318237e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.11044127693383328,446.83466139007
