,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.007777414808571387,0.033,0,0,0.012,0,0.006,0,0,0.022156497072493724,0.0,4.07422680396965e-07,0.0,4.724131032411935e-07,383.63548154399996,4976.775,-8.350522682762495e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76815129485516
1,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008165138203421499,0.033,0,0,0.012,0,0.006,0,0,0.021562281984482165,0.0,3.856445006468569e-07,0.0,4.672334031168386e-07,383.63548154399996,4976.775,-7.904105393415248e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76755707976713
2,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.007748447243950969,0.033,0,0,0.012,0,0.006,0,0,0.021672167030352,0.0,3.5663579348566866e-07,0.0,4.607747410376293e-07,383.63548154399996,4976.775,-1.2534821605209394e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76766696481303
3,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008489964409788192,0.033,0,0,0.012,0,0.006,0,0,0.02256006537041865,0.0,2.957409785557998e-07,0.0,4.9532585404673e-07,383.63548154399996,4976.775,-1.8455642628439873e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7685548631531
4,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008839758902525247,0.033,0,0,0.012,0,0.006,0,0,0.02142276715794864,0.0,3.9555941594469693e-07,0.0,4.5044915289703257e-07,383.63548154399996,4976.775,-3.107424897157377e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7674175649406
5,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008431645089089944,0.033,0,0,0.012,0,0.006,0,0,0.019584740237592886,0.0,3.8396692810897263e-07,0.0,3.928643179009892e-07,383.63548154399996,4976.775,-2.616708709909533e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76557953802023
6,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008422251403108587,0.033,0,0,0.012,0,0.006,0,0,0.019520332571641423,0.0,3.899338531353784e-07,0.0,3.907038129041076e-07,383.63548154399996,4976.775,-9.347688633848724e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7655151303543
7,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008741009681136341,0.033,0,0,0.012,0,0.006,0,0,0.02295454435013288,0.0,4.244149736866332e-07,0.0,4.891092297732828e-07,383.63548154399996,4976.775,-1.96526284730168e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76894934213277
8,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.007692745292747423,0.033,0,0,0.012,0,0.006,0,0,0.020305137465335972,0.0,3.6430917000067844e-07,0.0,4.2933440606094687e-07,383.63548154399996,4976.775,-2.2134510510678736e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.766299935248
9,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008513347889192426,0.033,0,0,0.012,0,0.006,0,0,0.019434542073431108,0.0,3.561244706021839e-07,0.0,4.201846231199892e-07,383.63548154399996,4976.775,-1.2812884705239306e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7654293398561
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008600958513221388,0.033,0,0,0.012,0,0.006,0,0,0.01901958830196842,0.0,4.043196677355502e-07,0.0,4.1585978003282646e-07,383.63548154399996,4976.775,-4.3832431038456713e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.7650143860846
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.007674423666746199,0.033,0,0,0.012,0,0.006,0,0,0.023299072706363253,0.0,4.144039731027799e-07,0.0,4.904005247899466e-07,383.63548154399996,4976.775,-2.359842707093025e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76929387048904
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008415893464426973,0.033,0,0,0.012,0,0.006,0,0,0.020501341773368504,0.0,3.8163892898199684e-07,0.0,4.678748146019117e-07,383.63548154399996,4976.775,-1.1651861217619789e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.766496139556
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.008481293521891236,0.033,0,0,0.012,0,0.006,0,0,0.020649008027359594,0.0,3.6023694540715406e-07,0.0,4.308747519021323e-07,383.63548154399996,4976.775,-1.2096463455448994e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456127858696375e-131,0.1105132537827213,383.76664380581
