,count,mean,std,min,25%,50%,75%,max
t,10000.0,147.0,10.2,120.0,139.0,147.0,154.0,170.0
p,10000.0,4.89,1.2,2.03,4.03,4.85,5.74,7.85
ph,10000.0,4.75,0.0859,4.6,4.68,4.75,4.82,4.9
q,10000.0,177.0,10.2,150.0,170.0,177.0,184.0,200.0
s,10000.0,30.0,0.5740000000000001,29.0,29.5,30.0,30.5,31.0
ewe,10000.0,0.35000000000000003,5.959999999999999e-14,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
co2,10000.0,1550.0,495.0,680.0,1120.0,1550.0,1980.0,2400.0
na,10000.0,50900.0,633.0,49800.00000000001,50400.0,50900.0,51500.0,52000.0
ca,10000.0,1440.0,51.4,1350.0,1400.0,1440.0,1480.0,1530.0
mg,10000.0,9.5,1.44,7.0,8.25,9.5,10.700000000000001,12.0
cl,10000.0,104000.0,3420.0,98100.0,101000.0,104000.0,107000.0,110000.00000000001
au,10000.0,0.013000000000000001,0.00463,0.005,0.00902,0.013000000000000001,0.017,0.021
ag,10000.0,0.0736,0.027200000000000002,0.026000000000000002,0.050199999999999995,0.0737,0.09699999999999999,0.121
co,10000.0,0.0115,0.00202,0.008,0.00976,0.0115,0.013300000000000001,0.015
zn,10000.0,12.5,2.59,8.0,10.3,12.5,14.8,17.0
li,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cu,10000.0,1.94,0.661,0.8,1.37,1.93,2.51,3.1
pb,10000.0,1.17,0.4690000000000001,0.36000000000000004,0.77,1.17,1.58,2.0
ni,10000.0,0.37200000000000005,0.16200000000000003,0.0941,0.229,0.373,0.514,0.65
cd,10000.0,0.265,0.13,0.0401,0.15400000000000003,0.266,0.377,0.49000000000000005
ti,10000.0,0.00825,2.8800000000000002e-05,0.008199999999999999,0.008220000000000002,0.00825,0.00827,0.0083
mo,10000.0,0.0529,0.0115,0.033,0.0429,0.0529,0.06269999999999999,0.073
mn,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
se,10000.0,0.015,0.00173,0.012,0.013500000000000002,0.015,0.0165,0.018000000000000002
sr,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sb,10000.0,0.011000000000000001,0.00289,0.006,0.00847,0.010900000000000002,0.013500000000000002,0.016
al,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,10000.0,0.0493,0.012,0.021400000000000002,0.0398,0.0489,0.0581,0.09029999999999999
cu_3,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
au_3,10000.0,1.1499999999999998e-06,4.2499999999999995e-07,3.27e-07,7.849999999999999e-07,1.1399999999999999e-06,1.49e-06,2.39e-06
as_3,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sb_3,10000.0,9.69e-07,2.72e-07,4.16e-07,7.38e-07,9.619999999999999e-07,1.18e-06,1.79e-06
E4,10000.0,434.99999999999994,92.2,200.0,369.0,437.0,501.0,696.0
H4,10000.0,5550.0,221.0,4950.0,5400.0,5560.0,5710.0,6110.0
E5,10000.0,-2.8100000000000004e-135,1.6e-134,-3.8600000000000005e-133,-2.5200000000000002e-138,-1.26e-142,-6.47e-147,-3.17e-152
al_5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba_5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr_5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ni_5,10000.0,1.55e-132,7.63e-132,4.769999999999999e-149,4.7699999999999994e-144,8.73e-140,1.71e-135,1.19e-130
li_5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mn_5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as_5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zn_5,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6,10000.0,0.135,0.00799,0.11200000000000002,0.129,0.135,0.13999999999999999,0.15600000000000003
E,10000.0,434.99999999999994,92.2,200.0,369.0,437.0,501.0,696.0
