,count,mean,std,min,25%,50%,75%,max
t,10000.0,147.0,10.3,121.0,139.0,147.0,154.0,170.0
p,10000.0,4.88,1.21,2.01,4.0,4.86,5.76,7.85
ph,10000.0,4.75,0.0864,4.6,4.68,4.75,4.83,4.9
q,10000.0,177.0,10.3,150.0,169.0,178.0,184.0,200.0
s,10000.0,30.0,0.5790000000000001,29.0,29.5,30.0,30.5,31.0
ewe,10000.0,0.35000000000000003,5.55e-17,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
co2,10000.0,1540.0,497.0,680.0,1110.0,1540.0,1970.0,2400.0
na,10000.0,50900.0,633.0,49800.00000000001,50300.0,50900.0,51500.0,52000.0
ca,10000.0,1440.0,51.6,1350.0,1400.0,1440.0,1480.0,1530.0
mg,10000.0,9.5,1.44,7.0,8.26,9.5,10.700000000000001,12.0
cl,10000.0,104000.0,3440.0,98100.0,101000.0,104000.0,107000.0,110000.00000000001
au,10000.0,0.013000000000000001,0.0046,0.005,0.00904,0.0131,0.017,0.021
ag,10000.0,0.0738,0.027200000000000002,0.026000000000000002,0.0504,0.0736,0.09730000000000001,0.121
co,10000.0,0.0115,0.0020099999999999996,0.008,0.009779999999999999,0.0115,0.013300000000000001,0.015
zn,10000.0,12.5,2.59,8.0,10.3,12.5,14.7,17.0
li,10000.0,0.551,0.261,0.1,0.326,0.554,0.778,1.0
cu,10000.0,1.95,0.659,0.8,1.39,1.94,2.52,3.1
pb,10000.0,1.18,0.476,0.36000000000000004,0.7690000000000001,1.18,1.6,2.0
ni,10000.0,0.373,0.16100000000000003,0.094,0.23399999999999999,0.37400000000000005,0.512,0.65
cd,10000.0,0.265,0.129,0.0401,0.15200000000000002,0.265,0.377,0.49000000000000005
ti,10000.0,0.00825,2.8800000000000002e-05,0.008199999999999999,0.008230000000000001,0.00825,0.00828,0.0083
mo,10000.0,0.053099999999999994,0.0115,0.033,0.0431,0.053099999999999994,0.0631,0.073
mn,10000.0,0.549,0.261,0.1,0.32000000000000006,0.549,0.778,1.0
ba,10000.0,0.548,0.259,0.1,0.32200000000000006,0.549,0.7690000000000001,1.0
se,10000.0,0.015,0.00173,0.012,0.013500000000000002,0.015,0.0165,0.018000000000000002
sr,10000.0,0.55,0.26,0.1,0.32400000000000007,0.5519999999999999,0.774,1.0
sb,10000.0,0.011000000000000001,0.00289,0.006,0.00845,0.011000000000000001,0.013500000000000002,0.016
al,10000.0,0.55,0.259,0.1,0.325,0.554,0.774,1.0
as,10000.0,0.549,0.258,0.1,0.326,0.548,0.771,1.0
E3,10000.0,3.26,1.55,0.512,1.94,3.23,4.51,7.56
cu_3,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
au_3,10000.0,1.1499999999999998e-06,4.2099999999999997e-07,3.27e-07,7.98e-07,1.1499999999999998e-06,1.49e-06,2.36e-06
as_3,10000.0,4.8400000000000004e-05,2.32e-05,7.3099999999999995e-06,2.85e-05,4.81e-05,6.740000000000001e-05,0.00011200000000000001
sb_3,10000.0,9.69e-07,2.72e-07,4.16e-07,7.37e-07,9.619999999999999e-07,1.1899999999999998e-06,1.78e-06
E4,10000.0,434.99999999999994,93.80000000000001,195.0,368.0,437.0,503.0,705.0
H4,10000.0,5550.0,221.0,4950.0,5400.0,5560.0,5710.0,6130.0
E5,10000.0,-0.0167,0.011000000000000001,-0.126,-0.0211,-0.0139,-0.00923,-0.00132
li_5,10000.0,8.82e-06,1.02e-05,1.06e-08,1.73e-06,4.9000000000000005e-06,1.22e-05,6.82e-05
as_5,10000.0,1.2400000000000002e-05,6.809999999999999e-06,1.31e-06,6.92e-06,1.15e-05,1.7e-05,3.55e-05
mn_5,10000.0,7.2e-05,3.61e-05,9.369999999999998e-06,4.13e-05,7.04e-05,9.970000000000001e-05,0.00017
al_5,10000.0,9.62e-05,4.58e-05,1.38e-05,5.64e-05,9.630000000000001e-05,0.00013500000000000003,0.000194
zn_5,10000.0,0.00134,0.0005420000000000001,0.00034300000000000004,0.000901,0.00128,0.00171,0.0030800000000000003
ba_5,10000.0,6.2e-05,3.2300000000000006e-05,7.259999999999999e-06,3.490000000000001e-05,5.940000000000001e-05,8.480000000000001e-05,0.00015800000000000002
sr_5,10000.0,5.13e-05,3.1700000000000005e-05,3.7e-06,2.6000000000000002e-05,4.4500000000000004e-05,7.1e-05,0.00016
ni_5,10000.0,3.3100000000000005e-05,2.11e-05,2.24e-06,1.62e-05,2.82e-05,4.6500000000000005e-05,0.00010600000000000002
E6,10000.0,0.135,0.008050000000000002,0.11299999999999999,0.129,0.135,0.141,0.15700000000000003
E,10000.0,438.0,93.9,200.0,371.0,440.00000000000006,507.0,710.0
